"","location","error","Best_error","Worst_error","distance","number"
"1","attic",839737.446508801,1789.66010393664,4255.02175239061,2,2
"2","attic",6805.3685721142,1789.66010393664,4255.02175239061,2,2
"3","attic",48122.8847748824,1789.66010393664,4255.02175239061,2,2
"4","attic",4897.78538335993,1789.66010393664,4255.02175239061,2,2
"5","attic",26420.207270334,1789.66010393664,4255.02175239061,2,2
"6","attic",104145.489819961,1789.66010393664,4255.02175239061,2,2
"7","attic",6633.80759569835,1789.66010393664,4255.02175239061,2,2
"8","attic",4463.67362551547,1789.66010393664,4255.02175239061,2,2
"9","attic",3813.25015479623,1789.66010393664,4255.02175239061,2,2
"10","attic",2067.91634845982,1789.66010393664,4255.02175239061,2,2
"11","attic",85297.9580679317,1789.66010393664,4255.02175239061,6,2
"12","attic",255840.817945561,1789.66010393664,4255.02175239061,6,2
"13","attic",3068.11446080306,1789.66010393664,4255.02175239061,6,2
"14","attic",17569.0338491627,1789.66010393664,4255.02175239061,6,2
"15","attic",6564.54749764181,1789.66010393664,4255.02175239061,6,2
"16","attic",5413.08877696504,1789.66010393664,4255.02175239061,6,2
"17","attic",9078.02948559882,1789.66010393664,4255.02175239061,6,2
"18","attic",13932.7078086681,1789.66010393664,4255.02175239061,6,2
"19","attic",4413.23864031527,1789.66010393664,4255.02175239061,6,2
"20","attic",16938.7217030622,1789.66010393664,4255.02175239061,6,2
"21","attic",3266.78768644912,1789.66010393664,4255.02175239061,6,3
"22","attic",73895.3016403343,1789.66010393664,4255.02175239061,6,3
"23","attic",3759.63674266319,1789.66010393664,4255.02175239061,6,3
"24","attic",2367.80842498974,1789.66010393664,4255.02175239061,6,3
"25","attic",3008.52040447633,1789.66010393664,4255.02175239061,6,3
"26","attic",4260.70140795142,1789.66010393664,4255.02175239061,6,3
"27","attic",3474.78607006724,1789.66010393664,4255.02175239061,6,3
"28","attic",4788.69554055275,1789.66010393664,4255.02175239061,6,3
"29","attic",2740.19222457517,1789.66010393664,4255.02175239061,6,3
"30","attic",3424.94921135695,1789.66010393664,4255.02175239061,6,3
"31","attic",6674.73338441637,1789.66010393664,4255.02175239061,6,4
"32","attic",10020.9645924779,1789.66010393664,4255.02175239061,6,4
"33","attic",7470.71801844095,1789.66010393664,4255.02175239061,6,4
"34","attic",2831.20483870454,1789.66010393664,4255.02175239061,6,4
"35","attic",4900.83982737068,1789.66010393664,4255.02175239061,6,4
"36","attic",10673.5889182954,1789.66010393664,4255.02175239061,6,4
"37","attic",9469.41122100176,1789.66010393664,4255.02175239061,6,4
"38","attic",2479.7930262888,1789.66010393664,4255.02175239061,6,4
"39","attic",2286.41981626341,1789.66010393664,4255.02175239061,6,4
"40","attic",7969.63350656836,1789.66010393664,4255.02175239061,6,4
"41","attic",3548.40560034377,1789.66010393664,4255.02175239061,6,5
"42","attic",13573.828296474,1789.66010393664,4255.02175239061,6,5
"43","attic",2553.92632550071,1789.66010393664,4255.02175239061,6,5
"44","attic",3601.27714310872,1789.66010393664,4255.02175239061,6,5
"45","attic",5040.05687293573,1789.66010393664,4255.02175239061,6,5
"46","attic",4199.44981405689,1789.66010393664,4255.02175239061,6,5
"47","attic",3914.36115517985,1789.66010393664,4255.02175239061,6,5
"48","attic",2363.02455957771,1789.66010393664,4255.02175239061,6,5
"49","attic",8308.11850024275,1789.66010393664,4255.02175239061,6,5
"50","attic",16040.0941365909,1789.66010393664,4255.02175239061,6,5
"51","attic",1992.8836345254,1789.66010393664,4255.02175239061,6,6
"52","attic",11274.6455044969,1789.66010393664,4255.02175239061,6,6
"53","attic",8162.21717911925,1789.66010393664,4255.02175239061,6,6
"54","attic",3521.62128512193,1789.66010393664,4255.02175239061,6,6
"55","attic",2614.11887059236,1789.66010393664,4255.02175239061,6,6
"56","attic",5230.3386286538,1789.66010393664,4255.02175239061,6,6
"57","attic",50652.8826948938,1789.66010393664,4255.02175239061,6,6
"58","attic",2619.21968081069,1789.66010393664,4255.02175239061,6,6
"59","attic",2795.57797372843,1789.66010393664,4255.02175239061,6,6
"60","attic",2716.0413637638,1789.66010393664,4255.02175239061,6,6
"61","attic",7911.4146220713,1789.66010393664,4255.02175239061,12,2
"62","attic",1938.24437094433,1789.66010393664,4255.02175239061,12,2
"63","attic",4868.666534995,1789.66010393664,4255.02175239061,12,2
"64","attic",1899.7656203523,1789.66010393664,4255.02175239061,12,2
"65","attic",2597.42905059668,1789.66010393664,4255.02175239061,12,2
"66","attic",47657.7571204253,1789.66010393664,4255.02175239061,12,2
"67","attic",6738.03510625787,1789.66010393664,4255.02175239061,12,2
"68","attic",3329.74700016629,1789.66010393664,4255.02175239061,12,2
"69","attic",25697.6756529373,1789.66010393664,4255.02175239061,12,2
"70","attic",2402.39272771197,1789.66010393664,4255.02175239061,12,2
"71","attic",7175.87732341263,1789.66010393664,4255.02175239061,12,3
"72","attic",1994.02488575247,1789.66010393664,4255.02175239061,12,3
"73","attic",13520.5152360913,1789.66010393664,4255.02175239061,12,3
"74","attic",3003.19633005758,1789.66010393664,4255.02175239061,12,3
"75","attic",2243.05151627394,1789.66010393664,4255.02175239061,12,3
"76","attic",16899.2134863037,1789.66010393664,4255.02175239061,12,3
"77","attic",2785.45874680629,1789.66010393664,4255.02175239061,12,3
"78","attic",2309.77559294114,1789.66010393664,4255.02175239061,12,3
"79","attic",5498.60578680154,1789.66010393664,4255.02175239061,12,3
"80","attic",22128.1890040668,1789.66010393664,4255.02175239061,12,3
"81","attic",13544.8267086995,1789.66010393664,4255.02175239061,12,4
"82","attic",2130.45423655247,1789.66010393664,4255.02175239061,12,4
"83","attic",9883.40126280215,1789.66010393664,4255.02175239061,12,4
"84","attic",3527.77834578692,1789.66010393664,4255.02175239061,12,4
"85","attic",3659.89652001004,1789.66010393664,4255.02175239061,12,4
"86","attic",3299.69433457382,1789.66010393664,4255.02175239061,12,4
"87","attic",7120.59815380621,1789.66010393664,4255.02175239061,12,4
"88","attic",5879.33276138372,1789.66010393664,4255.02175239061,12,4
"89","attic",13688.8218310037,1789.66010393664,4255.02175239061,12,4
"90","attic",10395.0764747547,1789.66010393664,4255.02175239061,12,4
"91","attic",2298.2130163383,1789.66010393664,4255.02175239061,12,5
"92","attic",4499.1367747077,1789.66010393664,4255.02175239061,12,5
"93","attic",9854.32023789888,1789.66010393664,4255.02175239061,12,5
"94","attic",2647.933847818,1789.66010393664,4255.02175239061,12,5
"95","attic",10388.1154461964,1789.66010393664,4255.02175239061,12,5
"96","attic",5000.99037859534,1789.66010393664,4255.02175239061,12,5
"97","attic",2939.6210678652,1789.66010393664,4255.02175239061,12,5
"98","attic",4863.98347442243,1789.66010393664,4255.02175239061,12,5
"99","attic",1945.21795203228,1789.66010393664,4255.02175239061,12,5
"100","attic",3693.65309864451,1789.66010393664,4255.02175239061,12,5
"101","attic",2315.75972461415,1789.66010393664,4255.02175239061,12,6
"102","attic",5809.76674688851,1789.66010393664,4255.02175239061,12,6
"103","attic",2906.10202766218,1789.66010393664,4255.02175239061,12,6
"104","attic",1998.68669139886,1789.66010393664,4255.02175239061,12,6
"105","attic",1967.73334514898,1789.66010393664,4255.02175239061,12,6
"106","attic",1937.83199093401,1789.66010393664,4255.02175239061,12,6
"107","attic",2629.02270269934,1789.66010393664,4255.02175239061,12,6
"108","attic",2529.12633883608,1789.66010393664,4255.02175239061,12,6
"109","attic",7821.12283047028,1789.66010393664,4255.02175239061,12,6
"110","attic",6007.78132401986,1789.66010393664,4255.02175239061,12,6
"111","attic",5536.75557918465,1789.66010393664,4255.02175239061,12,7
