"Tytuł wykresu: Strych 1"
"Nr","Data Czas, GMT+02:00","Temp, °C (LGR S/N: 10049259, SEN S/N: 10049259)","Temp, °C (LGR S/N: 10049259, SEN S/N: 10049259)","Odłączony łącznik (LGR S/N: 10049259)","Koniec pliku (LGR S/N: 10049259)"
1,08.02.21 01:00:00 AM,17.011,16.987,Zarejestrowano,
2,08.02.21 01:01:00 AM,16.987,16.987,,
3,08.02.21 01:02:00 AM,16.987,16.963,,
4,08.02.21 01:03:00 AM,16.987,16.939,,
5,08.02.21 01:04:00 AM,16.987,16.939,,
6,08.02.21 01:05:00 AM,16.963,16.939,,
7,08.02.21 01:06:00 AM,16.939,16.915,,
8,08.02.21 01:07:00 AM,16.939,16.915,,
9,08.02.21 01:08:00 AM,16.915,16.892,,
10,08.02.21 01:09:00 AM,16.915,16.892,,
11,08.02.21 01:10:00 AM,16.892,16.868,,
12,08.02.21 01:11:00 AM,16.892,16.844,,
13,08.02.21 01:12:00 AM,16.868,16.844,,
14,08.02.21 01:13:00 AM,16.868,16.844,,
15,08.02.21 01:14:00 AM,16.844,16.820,,
16,08.02.21 01:15:00 AM,16.844,16.796,,
17,08.02.21 01:16:00 AM,16.820,16.796,,
18,08.02.21 01:17:00 AM,16.796,16.796,,
19,08.02.21 01:18:00 AM,16.796,16.773,,
20,08.02.21 01:19:00 AM,16.773,16.749,,
21,08.02.21 01:20:00 AM,16.773,16.749,,
22,08.02.21 01:21:00 AM,16.749,16.749,,
23,08.02.21 01:22:00 AM,16.749,16.725,,
24,08.02.21 01:23:00 AM,16.749,16.701,,
25,08.02.21 01:24:00 AM,16.725,16.701,,
26,08.02.21 01:25:00 AM,16.701,16.677,,
27,08.02.21 01:26:00 AM,16.701,16.654,,
28,08.02.21 01:27:00 AM,16.677,16.654,,
29,08.02.21 01:28:00 AM,16.654,16.654,,
30,08.02.21 01:29:00 AM,16.654,16.630,,
31,08.02.21 01:30:00 AM,16.654,16.606,,
32,08.02.21 01:31:00 AM,16.630,16.606,,
33,08.02.21 01:32:00 AM,16.606,16.582,,
34,08.02.21 01:33:00 AM,16.606,16.582,,
35,08.02.21 01:34:00 AM,16.582,16.558,,
36,08.02.21 01:35:00 AM,16.558,16.558,,
37,08.02.21 01:36:00 AM,16.558,16.534,,
38,08.02.21 01:37:00 AM,16.534,16.534,,
39,08.02.21 01:38:00 AM,16.534,16.511,,
40,08.02.21 01:39:00 AM,16.511,16.511,,
41,08.02.21 01:40:00 AM,16.511,16.487,,
42,08.02.21 01:41:00 AM,16.487,16.463,,
43,08.02.21 01:42:00 AM,16.487,16.463,,
44,08.02.21 01:43:00 AM,16.463,16.439,,
45,08.02.21 01:44:00 AM,16.463,16.415,,
46,08.02.21 01:45:00 AM,16.439,16.415,,
47,08.02.21 01:46:00 AM,16.415,16.392,,
48,08.02.21 01:47:00 AM,16.415,16.368,,
49,08.02.21 01:48:00 AM,16.415,16.368,,
50,08.02.21 01:49:00 AM,16.368,16.368,,
51,08.02.21 01:50:00 AM,16.368,16.344,,
52,08.02.21 01:51:00 AM,16.368,16.320,,
53,08.02.21 01:52:00 AM,16.344,16.320,,
54,08.02.21 01:53:00 AM,16.320,16.296,,
55,08.02.21 01:54:00 AM,16.320,16.296,,
56,08.02.21 01:55:00 AM,16.296,16.272,,
57,08.02.21 01:56:00 AM,16.296,16.249,,
58,08.02.21 01:57:00 AM,16.272,16.249,,
59,08.02.21 01:58:00 AM,16.272,16.225,,
60,08.02.21 01:59:00 AM,16.272,16.225,,
61,08.02.21 02:00:00 AM,16.249,16.201,,
62,08.02.21 02:01:00 AM,16.225,16.177,,
63,08.02.21 02:02:00 AM,16.225,16.177,,
64,08.02.21 02:03:00 AM,16.201,16.177,,
65,08.02.21 02:04:00 AM,16.201,16.153,,
66,08.02.21 02:05:00 AM,16.177,16.129,,
67,08.02.21 02:06:00 AM,16.177,16.129,,
68,08.02.21 02:07:00 AM,16.153,16.106,,
69,08.02.21 02:08:00 AM,16.129,16.106,,
70,08.02.21 02:09:00 AM,16.129,16.082,,
71,08.02.21 02:10:00 AM,16.106,16.082,,
72,08.02.21 02:11:00 AM,16.082,16.058,,
73,08.02.21 02:12:00 AM,16.082,16.034,,
74,08.02.21 02:13:00 AM,16.058,16.034,,
75,08.02.21 02:14:00 AM,16.058,16.034,,
76,08.02.21 02:15:00 AM,16.058,16.010,,
77,08.02.21 02:16:00 AM,16.034,15.986,,
78,08.02.21 02:17:00 AM,16.010,15.986,,
79,08.02.21 02:18:00 AM,15.986,15.986,,
80,08.02.21 02:19:00 AM,15.986,15.963,,
81,08.02.21 02:20:00 AM,15.963,15.963,,
82,08.02.21 02:21:00 AM,15.963,15.939,,
83,08.02.21 02:22:00 AM,15.963,15.939,,
84,08.02.21 02:23:00 AM,15.939,15.939,,
85,08.02.21 02:24:00 AM,15.939,15.891,,
86,08.02.21 02:25:00 AM,15.939,15.891,,
87,08.02.21 02:26:00 AM,15.915,15.891,,
88,08.02.21 02:27:00 AM,15.891,15.867,,
89,08.02.21 02:28:00 AM,15.891,15.843,,
90,08.02.21 02:29:00 AM,15.891,15.843,,
91,08.02.21 02:30:00 AM,15.867,15.843,,
92,08.02.21 02:31:00 AM,15.843,15.819,,
93,08.02.21 02:32:00 AM,15.843,15.819,,
94,08.02.21 02:33:00 AM,15.819,15.796,,
95,08.02.21 02:34:00 AM,15.819,15.796,,
96,08.02.21 02:35:00 AM,15.819,15.796,,
97,08.02.21 02:36:00 AM,15.796,15.772,,
98,08.02.21 02:37:00 AM,15.796,15.772,,
99,08.02.21 02:38:00 AM,15.772,15.748,,
100,08.02.21 02:39:00 AM,15.748,15.748,,
101,08.02.21 02:40:00 AM,15.748,15.724,,
102,08.02.21 02:41:00 AM,15.724,15.700,,
103,08.02.21 02:42:00 AM,15.700,15.700,,
104,08.02.21 02:43:00 AM,15.700,15.700,,
105,08.02.21 02:44:00 AM,15.700,15.676,,
106,08.02.21 02:45:00 AM,15.700,15.676,,
107,08.02.21 02:46:00 AM,15.676,15.652,,
108,08.02.21 02:47:00 AM,15.676,15.652,,
109,08.02.21 02:48:00 AM,15.652,15.652,,
110,08.02.21 02:49:00 AM,15.652,15.629,,
111,08.02.21 02:50:00 AM,15.652,15.605,,
112,08.02.21 02:51:00 AM,15.652,15.605,,
113,08.02.21 02:52:00 AM,15.629,15.605,,
114,08.02.21 02:53:00 AM,15.605,15.605,,
115,08.02.21 02:54:00 AM,15.605,15.581,,
116,08.02.21 02:55:00 AM,15.605,15.581,,
117,08.02.21 02:56:00 AM,15.581,15.557,,
118,08.02.21 02:57:00 AM,15.557,15.557,,
119,08.02.21 02:58:00 AM,15.557,15.557,,
120,08.02.21 02:59:00 AM,15.533,15.533,,
121,08.02.21 03:00:00 AM,15.533,15.533,,
122,08.02.21 03:01:00 AM,15.509,15.509,,
123,08.02.21 03:02:00 AM,15.533,15.509,,
124,08.02.21 03:03:00 AM,15.533,15.509,,
125,08.02.21 03:04:00 AM,15.509,15.509,,
126,08.02.21 03:05:00 AM,15.509,15.485,,
127,08.02.21 03:06:00 AM,15.509,15.461,,
128,08.02.21 03:07:00 AM,15.485,15.461,,
129,08.02.21 03:08:00 AM,15.461,15.461,,
130,08.02.21 03:09:00 AM,15.461,15.438,,
131,08.02.21 03:10:00 AM,15.438,15.414,,
132,08.02.21 03:11:00 AM,15.414,15.414,,
133,08.02.21 03:12:00 AM,15.414,15.414,,
134,08.02.21 03:13:00 AM,15.414,15.414,,
135,08.02.21 03:14:00 AM,15.414,15.414,,
136,08.02.21 03:15:00 AM,15.414,15.390,,
137,08.02.21 03:16:00 AM,15.390,15.366,,
138,08.02.21 03:17:00 AM,15.390,15.366,,
139,08.02.21 03:18:00 AM,15.390,15.366,,
140,08.02.21 03:19:00 AM,15.366,15.342,,
141,08.02.21 03:20:00 AM,15.366,15.342,,
142,08.02.21 03:21:00 AM,15.342,15.318,,
143,08.02.21 03:22:00 AM,15.342,15.318,,
144,08.02.21 03:23:00 AM,15.318,15.318,,
145,08.02.21 03:24:00 AM,15.318,15.318,,
146,08.02.21 03:25:00 AM,15.294,15.294,,
147,08.02.21 03:26:00 AM,15.270,15.294,,
148,08.02.21 03:27:00 AM,15.270,15.270,,
149,08.02.21 03:28:00 AM,15.270,15.270,,
150,08.02.21 03:29:00 AM,15.270,15.270,,
151,08.02.21 03:30:00 AM,15.270,15.247,,
152,08.02.21 03:31:00 AM,15.270,15.223,,
153,08.02.21 03:32:00 AM,15.247,15.223,,
154,08.02.21 03:33:00 AM,15.223,15.223,,
155,08.02.21 03:34:00 AM,15.223,15.199,,
156,08.02.21 03:35:00 AM,15.199,15.199,,
157,08.02.21 03:36:00 AM,15.175,15.175,,
158,08.02.21 03:37:00 AM,15.175,15.175,,
159,08.02.21 03:38:00 AM,15.175,15.175,,
160,08.02.21 03:39:00 AM,15.151,15.151,,
161,08.02.21 03:40:00 AM,15.151,15.127,,
162,08.02.21 03:41:00 AM,15.151,15.127,,
163,08.02.21 03:42:00 AM,15.127,15.127,,
164,08.02.21 03:43:00 AM,15.103,15.127,,
165,08.02.21 03:44:00 AM,15.079,15.103,,
166,08.02.21 03:45:00 AM,15.079,15.079,,
167,08.02.21 03:46:00 AM,15.079,15.079,,
168,08.02.21 03:47:00 AM,15.055,15.079,,
169,08.02.21 03:48:00 AM,15.055,15.055,,
170,08.02.21 03:49:00 AM,15.055,15.031,,
171,08.02.21 03:50:00 AM,15.031,15.031,,
172,08.02.21 03:51:00 AM,15.008,15.031,,
173,08.02.21 03:52:00 AM,15.008,15.008,,
174,08.02.21 03:53:00 AM,14.984,14.984,,
175,08.02.21 03:54:00 AM,14.984,14.984,,
176,08.02.21 03:55:00 AM,14.960,14.984,,
177,08.02.21 03:56:00 AM,14.960,14.960,,
178,08.02.21 03:57:00 AM,14.936,14.960,,
179,08.02.21 03:58:00 AM,14.936,14.936,,
180,08.02.21 03:59:00 AM,14.936,14.936,,
181,08.02.21 04:00:00 AM,14.912,14.912,,
182,08.02.21 04:01:00 AM,14.912,14.912,,
183,08.02.21 04:02:00 AM,14.888,14.888,,
184,08.02.21 04:03:00 AM,14.888,14.888,,
185,08.02.21 04:04:00 AM,14.888,14.888,,
186,08.02.21 04:05:00 AM,14.888,14.864,,
187,08.02.21 04:06:00 AM,14.888,14.864,,
188,08.02.21 04:07:00 AM,14.864,14.840,,
189,08.02.21 04:08:00 AM,14.864,14.840,,
190,08.02.21 04:09:00 AM,14.840,14.840,,
191,08.02.21 04:10:00 AM,14.840,14.840,,
192,08.02.21 04:11:00 AM,14.816,14.816,,
193,08.02.21 04:12:00 AM,14.792,14.792,,
194,08.02.21 04:13:00 AM,14.792,14.792,,
195,08.02.21 04:14:00 AM,14.768,14.792,,
196,08.02.21 04:15:00 AM,14.768,14.792,,
197,08.02.21 04:16:00 AM,14.745,14.768,,
198,08.02.21 04:17:00 AM,14.745,14.745,,
199,08.02.21 04:18:00 AM,14.745,14.745,,
200,08.02.21 04:19:00 AM,14.721,14.745,,
201,08.02.21 04:20:00 AM,14.697,14.721,,
202,08.02.21 04:21:00 AM,14.697,14.697,,
203,08.02.21 04:22:00 AM,14.673,14.697,,
204,08.02.21 04:23:00 AM,14.649,14.673,,
205,08.02.21 04:24:00 AM,14.649,14.673,,
206,08.02.21 04:25:00 AM,14.649,14.649,,
207,08.02.21 04:26:00 AM,14.649,14.649,,
208,08.02.21 04:27:00 AM,14.625,14.649,,
209,08.02.21 04:28:00 AM,14.625,14.649,,
210,08.02.21 04:29:00 AM,14.625,14.625,,
211,08.02.21 04:30:00 AM,14.601,14.601,,
212,08.02.21 04:31:00 AM,14.601,14.601,,
213,08.02.21 04:32:00 AM,14.601,14.601,,
214,08.02.21 04:33:00 AM,14.601,14.601,,
215,08.02.21 04:34:00 AM,14.601,14.577,,
216,08.02.21 04:35:00 AM,14.601,14.577,,
217,08.02.21 04:36:00 AM,14.577,14.577,,
218,08.02.21 04:37:00 AM,14.553,14.577,,
219,08.02.21 04:38:00 AM,14.553,14.553,,
220,08.02.21 04:39:00 AM,14.553,14.553,,
221,08.02.21 04:40:00 AM,14.553,14.553,,
222,08.02.21 04:41:00 AM,14.553,14.529,,
223,08.02.21 04:42:00 AM,14.529,14.529,,
224,08.02.21 04:43:00 AM,14.529,14.529,,
225,08.02.21 04:44:00 AM,14.505,14.505,,
226,08.02.21 04:45:00 AM,14.505,14.505,,
227,08.02.21 04:46:00 AM,14.505,14.505,,
228,08.02.21 04:47:00 AM,14.505,14.505,,
229,08.02.21 04:48:00 AM,14.505,14.481,,
230,08.02.21 04:49:00 AM,14.505,14.481,,
231,08.02.21 04:50:00 AM,14.481,14.457,,
232,08.02.21 04:51:00 AM,14.481,14.457,,
233,08.02.21 04:52:00 AM,14.457,14.457,,
234,08.02.21 04:53:00 AM,14.457,14.457,,
235,08.02.21 04:54:00 AM,14.457,14.457,,
236,08.02.21 04:55:00 AM,14.457,14.433,,
237,08.02.21 04:56:00 AM,14.433,14.433,,
238,08.02.21 04:57:00 AM,14.433,14.433,,
239,08.02.21 04:58:00 AM,14.433,14.433,,
240,08.02.21 04:59:00 AM,14.433,14.433,,
241,08.02.21 05:00:00 AM,14.433,14.433,,
242,08.02.21 05:01:00 AM,14.433,14.433,,
243,08.02.21 05:02:00 AM,14.433,14.433,,
244,08.02.21 05:03:00 AM,14.433,14.433,,
245,08.02.21 05:04:00 AM,14.433,14.433,,
246,08.02.21 05:05:00 AM,14.433,14.433,,
247,08.02.21 05:06:00 AM,14.457,14.433,,
248,08.02.21 05:07:00 AM,14.457,14.433,,
249,08.02.21 05:08:00 AM,14.457,14.433,,
250,08.02.21 05:09:00 AM,14.457,14.433,,
251,08.02.21 05:10:00 AM,14.457,14.433,,
252,08.02.21 05:11:00 AM,14.457,14.433,,
253,08.02.21 05:12:00 AM,14.457,14.433,,
254,08.02.21 05:13:00 AM,14.457,14.433,,
255,08.02.21 05:14:00 AM,14.457,14.433,,
256,08.02.21 05:15:00 AM,14.457,14.433,,
257,08.02.21 05:16:00 AM,14.457,14.433,,
258,08.02.21 05:17:00 AM,14.433,14.457,,
259,08.02.21 05:18:00 AM,14.433,14.457,,
260,08.02.21 05:19:00 AM,14.433,14.433,,
261,08.02.21 05:20:00 AM,14.433,14.433,,
262,08.02.21 05:21:00 AM,14.433,14.433,,
263,08.02.21 05:22:00 AM,14.433,14.433,,
264,08.02.21 05:23:00 AM,14.433,14.433,,
265,08.02.21 05:24:00 AM,14.433,14.433,,
266,08.02.21 05:25:00 AM,14.433,14.433,,
267,08.02.21 05:26:00 AM,14.433,14.433,,
268,08.02.21 05:27:00 AM,14.433,14.433,,
269,08.02.21 05:28:00 AM,14.433,14.433,,
270,08.02.21 05:29:00 AM,14.409,14.433,,
271,08.02.21 05:30:00 AM,14.433,14.433,,
272,08.02.21 05:31:00 AM,14.433,14.433,,
273,08.02.21 05:32:00 AM,14.433,14.433,,
274,08.02.21 05:33:00 AM,14.433,14.433,,
275,08.02.21 05:34:00 AM,14.457,14.433,,
276,08.02.21 05:35:00 AM,14.457,14.457,,
277,08.02.21 05:36:00 AM,14.457,14.457,,
278,08.02.21 05:37:00 AM,14.457,14.457,,
279,08.02.21 05:38:00 AM,14.457,14.457,,
280,08.02.21 05:39:00 AM,14.457,14.457,,
