"Tytuł wykresu: Piwnica 2"
"Nr","Data Czas, GMT+02:00","Temp, °C (LGR S/N: 10049258, SEN S/N: 10049258)","Temp, °C (LGR S/N: 10049258, SEN S/N: 10049258)","Odłączony łącznik (LGR S/N: 10049258)","Koniec pliku (LGR S/N: 10049258)"
1,08.02.21 01:00:00 AM,21.032,21.246,Zarejestrowano,
2,08.02.21 01:01:00 AM,21.032,21.246,,
3,08.02.21 01:02:00 AM,21.032,21.246,,
4,08.02.21 01:03:00 AM,21.032,21.246,,
5,08.02.21 01:04:00 AM,21.032,21.246,,
6,08.02.21 01:05:00 AM,21.032,21.246,,
7,08.02.21 01:06:00 AM,21.032,21.246,,
8,08.02.21 01:07:00 AM,21.032,21.246,,
9,08.02.21 01:08:00 AM,21.032,21.246,,
10,08.02.21 01:09:00 AM,21.032,21.246,,
11,08.02.21 01:10:00 AM,21.032,21.246,,
12,08.02.21 01:11:00 AM,21.032,21.246,,
13,08.02.21 01:12:00 AM,21.032,21.246,,
14,08.02.21 01:13:00 AM,21.032,21.246,,
15,08.02.21 01:14:00 AM,21.032,21.246,,
16,08.02.21 01:15:00 AM,21.032,21.246,,
17,08.02.21 01:16:00 AM,21.032,21.246,,
18,08.02.21 01:17:00 AM,21.032,21.246,,
19,08.02.21 01:18:00 AM,21.032,21.246,,
20,08.02.21 01:19:00 AM,21.032,21.246,,
21,08.02.21 01:20:00 AM,21.032,21.246,,
22,08.02.21 01:21:00 AM,21.032,21.246,,
23,08.02.21 01:22:00 AM,21.032,21.246,,
24,08.02.21 01:23:00 AM,21.032,21.246,,
25,08.02.21 01:24:00 AM,21.032,21.246,,
26,08.02.21 01:25:00 AM,21.032,21.246,,
27,08.02.21 01:26:00 AM,21.032,21.246,,
28,08.02.21 01:27:00 AM,21.032,21.246,,
29,08.02.21 01:28:00 AM,21.032,21.246,,
30,08.02.21 01:29:00 AM,21.032,21.223,,
31,08.02.21 01:30:00 AM,21.032,21.246,,
32,08.02.21 01:31:00 AM,21.032,21.223,,
33,08.02.21 01:32:00 AM,21.032,21.223,,
34,08.02.21 01:33:00 AM,21.032,21.246,,
35,08.02.21 01:34:00 AM,21.032,21.223,,
36,08.02.21 01:35:00 AM,21.032,21.246,,
37,08.02.21 01:36:00 AM,21.032,21.246,,
38,08.02.21 01:37:00 AM,21.032,21.246,,
39,08.02.21 01:38:00 AM,21.032,21.246,,
40,08.02.21 01:39:00 AM,21.032,21.223,,
41,08.02.21 01:40:00 AM,21.032,21.246,,
42,08.02.21 01:41:00 AM,21.032,21.246,,
43,08.02.21 01:42:00 AM,21.032,21.223,,
44,08.02.21 01:43:00 AM,21.032,21.223,,
45,08.02.21 01:44:00 AM,21.032,21.246,,
46,08.02.21 01:45:00 AM,21.032,21.223,,
47,08.02.21 01:46:00 AM,21.032,21.223,,
48,08.02.21 01:47:00 AM,21.032,21.223,,
49,08.02.21 01:48:00 AM,21.032,21.223,,
50,08.02.21 01:49:00 AM,21.032,21.223,,
51,08.02.21 01:50:00 AM,21.032,21.223,,
52,08.02.21 01:51:00 AM,21.032,21.223,,
53,08.02.21 01:52:00 AM,21.032,21.223,,
54,08.02.21 01:53:00 AM,21.032,21.223,,
55,08.02.21 01:54:00 AM,21.032,21.223,,
56,08.02.21 01:55:00 AM,21.032,21.223,,
57,08.02.21 01:56:00 AM,21.032,21.223,,
58,08.02.21 01:57:00 AM,21.032,21.223,,
59,08.02.21 01:58:00 AM,21.008,21.223,,
60,08.02.21 01:59:00 AM,21.008,21.223,,
61,08.02.21 02:00:00 AM,21.008,21.223,,
62,08.02.21 02:01:00 AM,21.032,21.223,,
63,08.02.21 02:02:00 AM,21.008,21.223,,
64,08.02.21 02:03:00 AM,21.008,21.223,,
65,08.02.21 02:04:00 AM,21.032,21.223,,
66,08.02.21 02:05:00 AM,21.008,21.223,,
67,08.02.21 02:06:00 AM,21.008,21.223,,
68,08.02.21 02:07:00 AM,21.032,21.223,,
69,08.02.21 02:08:00 AM,21.008,21.223,,
70,08.02.21 02:09:00 AM,21.008,21.223,,
71,08.02.21 02:10:00 AM,21.008,21.223,,
72,08.02.21 02:11:00 AM,21.008,21.223,,
73,08.02.21 02:12:00 AM,21.008,21.223,,
74,08.02.21 02:13:00 AM,21.008,21.223,,
75,08.02.21 02:14:00 AM,21.008,21.223,,
76,08.02.21 02:15:00 AM,21.008,21.223,,
77,08.02.21 02:16:00 AM,21.008,21.223,,
78,08.02.21 02:17:00 AM,21.008,21.223,,
79,08.02.21 02:18:00 AM,21.008,21.223,,
80,08.02.21 02:19:00 AM,21.008,21.223,,
81,08.02.21 02:20:00 AM,21.008,21.223,,
82,08.02.21 02:21:00 AM,21.008,21.223,,
83,08.02.21 02:22:00 AM,21.008,21.223,,
84,08.02.21 02:23:00 AM,21.008,21.223,,
85,08.02.21 02:24:00 AM,21.008,21.223,,
86,08.02.21 02:25:00 AM,21.008,21.223,,
87,08.02.21 02:26:00 AM,21.008,21.223,,
88,08.02.21 02:27:00 AM,21.008,21.223,,
89,08.02.21 02:28:00 AM,21.008,21.223,,
90,08.02.21 02:29:00 AM,21.008,21.223,,
91,08.02.21 02:30:00 AM,21.008,21.223,,
92,08.02.21 02:31:00 AM,20.984,21.223,,
93,08.02.21 02:32:00 AM,20.984,21.223,,
94,08.02.21 02:33:00 AM,20.984,21.223,,
95,08.02.21 02:34:00 AM,20.984,21.223,,
96,08.02.21 02:35:00 AM,21.008,21.223,,
97,08.02.21 02:36:00 AM,20.984,21.223,,
98,08.02.21 02:37:00 AM,20.984,21.223,,
