"Tytuł wykresu: Pole 2"
"Nr","Data Czas, GMT+02:00","Temp, °C (LGR S/N: 9893163, SEN S/N: 9893163)","Temp, °C (LGR S/N: 9893163, SEN S/N: 9893163)","Odłączony łącznik (LGR S/N: 9893163)","Koniec pliku (LGR S/N: 9893163)"
1,08.02.21 01:00:00 AM,14.385,14.002,Zarejestrowano,
2,08.02.21 01:01:00 AM,14.457,13.882,,
3,08.02.21 01:02:00 AM,14.361,13.786,,
4,08.02.21 01:03:00 AM,14.266,13.834,,
5,08.02.21 01:04:00 AM,14.266,13.858,,
6,08.02.21 01:05:00 AM,14.266,13.930,,
7,08.02.21 01:06:00 AM,14.314,13.978,,
8,08.02.21 01:07:00 AM,14.361,13.906,,
9,08.02.21 01:08:00 AM,14.290,13.786,,
10,08.02.21 01:09:00 AM,14.290,13.786,,
11,08.02.21 01:10:00 AM,14.266,13.786,,
12,08.02.21 01:11:00 AM,14.266,13.906,,
13,08.02.21 01:12:00 AM,14.290,14.002,,
14,08.02.21 01:13:00 AM,14.314,14.026,,
15,08.02.21 01:14:00 AM,14.314,14.002,,
16,08.02.21 01:15:00 AM,14.314,13.978,,
17,08.02.21 01:16:00 AM,14.314,13.930,,
18,08.02.21 01:17:00 AM,14.290,13.930,,
19,08.02.21 01:18:00 AM,14.242,13.978,,
20,08.02.21 01:19:00 AM,14.290,13.858,,
21,08.02.21 01:20:00 AM,14.314,13.786,,
22,08.02.21 01:21:00 AM,14.337,13.738,,
23,08.02.21 01:22:00 AM,14.314,13.714,,
24,08.02.21 01:23:00 AM,14.361,13.618,,
25,08.02.21 01:24:00 AM,14.314,13.570,,
26,08.02.21 01:25:00 AM,14.242,13.570,,
27,08.02.21 01:26:00 AM,14.218,13.594,,
28,08.02.21 01:27:00 AM,14.146,13.497,,
29,08.02.21 01:28:00 AM,14.098,13.546,,
30,08.02.21 01:29:00 AM,14.098,13.497,,
31,08.02.21 01:30:00 AM,14.098,13.497,,
32,08.02.21 01:31:00 AM,14.098,13.449,,
33,08.02.21 01:32:00 AM,14.074,13.353,,
34,08.02.21 01:33:00 AM,14.098,13.329,,
35,08.02.21 01:34:00 AM,14.050,13.305,,
36,08.02.21 01:35:00 AM,13.978,13.257,,
37,08.02.21 01:36:00 AM,13.954,13.233,,
38,08.02.21 01:37:00 AM,13.906,13.281,,
39,08.02.21 01:38:00 AM,13.930,13.209,,
40,08.02.21 01:39:00 AM,13.858,13.233,,
41,08.02.21 01:40:00 AM,13.690,13.305,,
42,08.02.21 01:41:00 AM,13.642,13.305,,
43,08.02.21 01:42:00 AM,13.642,13.353,,
44,08.02.21 01:43:00 AM,13.690,13.329,,
45,08.02.21 01:44:00 AM,13.714,13.281,,
46,08.02.21 01:45:00 AM,13.738,13.257,,
47,08.02.21 01:46:00 AM,13.762,13.353,,
48,08.02.21 01:47:00 AM,13.738,13.257,,
49,08.02.21 01:48:00 AM,13.762,13.185,,
50,08.02.21 01:49:00 AM,13.810,13.112,,
51,08.02.21 01:50:00 AM,13.642,13.137,,
52,08.02.21 01:51:00 AM,13.546,13.161,,
53,08.02.21 01:52:00 AM,13.546,13.233,,
54,08.02.21 01:53:00 AM,13.594,13.209,,
55,08.02.21 01:54:00 AM,13.642,13.112,,
56,08.02.21 01:55:00 AM,13.522,13.112,,
57,08.02.21 01:56:00 AM,13.449,13.209,,
58,08.02.21 01:57:00 AM,13.497,13.209,,
59,08.02.21 01:58:00 AM,13.594,13.209,,
60,08.02.21 01:59:00 AM,13.642,13.233,,
61,08.02.21 02:00:00 AM,13.570,13.209,,
62,08.02.21 02:01:00 AM,13.666,13.209,,
63,08.02.21 02:02:00 AM,13.546,13.185,,
64,08.02.21 02:03:00 AM,13.497,13.257,,
65,08.02.21 02:04:00 AM,13.497,13.257,,
66,08.02.21 02:05:00 AM,13.546,13.257,,
67,08.02.21 02:06:00 AM,13.594,13.305,,
68,08.02.21 02:07:00 AM,13.642,13.353,,
69,08.02.21 02:08:00 AM,13.642,13.449,,
70,08.02.21 02:09:00 AM,13.642,13.425,,
71,08.02.21 02:10:00 AM,13.642,13.449,,
72,08.02.21 02:11:00 AM,13.714,13.497,,
73,08.02.21 02:12:00 AM,13.762,13.497,,
74,08.02.21 02:13:00 AM,13.738,13.377,,
75,08.02.21 02:14:00 AM,13.738,13.425,,
76,08.02.21 02:15:00 AM,13.786,13.473,,
77,08.02.21 02:16:00 AM,13.762,13.522,,
78,08.02.21 02:17:00 AM,13.810,13.497,,
79,08.02.21 02:18:00 AM,13.762,13.329,,
80,08.02.21 02:19:00 AM,13.762,13.281,,
81,08.02.21 02:20:00 AM,13.666,13.281,,
82,08.02.21 02:21:00 AM,13.642,13.305,,
83,08.02.21 02:22:00 AM,13.570,13.281,,
84,08.02.21 02:23:00 AM,13.570,13.305,,
85,08.02.21 02:24:00 AM,13.570,13.305,,
86,08.02.21 02:25:00 AM,13.570,13.257,,
87,08.02.21 02:26:00 AM,13.594,13.257,,
88,08.02.21 02:27:00 AM,13.690,13.257,,
89,08.02.21 02:28:00 AM,13.690,13.209,,
90,08.02.21 02:29:00 AM,13.642,13.112,,
91,08.02.21 02:30:00 AM,13.546,13.112,,
92,08.02.21 02:31:00 AM,13.618,13.064,,
93,08.02.21 02:32:00 AM,13.594,13.064,,
94,08.02.21 02:33:00 AM,13.570,13.112,,
95,08.02.21 02:34:00 AM,13.570,13.185,,
96,08.02.21 02:35:00 AM,13.642,13.209,,
97,08.02.21 02:36:00 AM,13.594,13.209,,
98,08.02.21 02:37:00 AM,13.594,13.209,,
99,08.02.21 02:38:00 AM,13.570,13.209,,
100,08.02.21 02:39:00 AM,13.618,13.161,,
101,08.02.21 02:40:00 AM,13.618,13.112,,
102,08.02.21 02:41:00 AM,13.546,13.064,,
103,08.02.21 02:42:00 AM,13.449,13.064,,
104,08.02.21 02:43:00 AM,13.473,13.112,,
105,08.02.21 02:44:00 AM,13.473,13.209,,
106,08.02.21 02:45:00 AM,13.546,13.209,,
107,08.02.21 02:46:00 AM,13.594,13.281,,
108,08.02.21 02:47:00 AM,13.546,13.281,,
109,08.02.21 02:48:00 AM,13.594,13.281,,
110,08.02.21 02:49:00 AM,13.570,13.377,,
111,08.02.21 02:50:00 AM,13.594,13.353,,
112,08.02.21 02:51:00 AM,13.570,13.353,,
113,08.02.21 02:52:00 AM,13.642,13.401,,
114,08.02.21 02:53:00 AM,13.690,13.425,,
115,08.02.21 02:54:00 AM,13.690,13.401,,
116,08.02.21 02:55:00 AM,13.690,13.401,,
117,08.02.21 02:56:00 AM,13.666,13.353,,
118,08.02.21 02:57:00 AM,13.666,13.329,,
