"Tytuł wykresu: Las 1"
"Nr","Data Czas, GMT+02:00","Temp, °C (LGR S/N: 10153754, SEN S/N: 10153754)","Temp, °C (LGR S/N: 10153754, SEN S/N: 10153754)","Odłączony łącznik (LGR S/N: 10153754)","Koniec pliku (LGR S/N: 10153754)"
1,08.02.21 01:00:00 AM,14.577,14.553,Zarejestrowano,
2,08.02.21 01:01:00 AM,14.553,14.601,,
3,08.02.21 01:02:00 AM,14.505,14.601,,
4,08.02.21 01:03:00 AM,14.457,14.505,,
5,08.02.21 01:04:00 AM,14.481,14.553,,
6,08.02.21 01:05:00 AM,14.505,14.577,,
7,08.02.21 01:06:00 AM,14.529,14.649,,
8,08.02.21 01:07:00 AM,14.553,14.721,,
9,08.02.21 01:08:00 AM,14.529,14.745,,
10,08.02.21 01:09:00 AM,14.505,14.697,,
11,08.02.21 01:10:00 AM,14.529,14.673,,
12,08.02.21 01:11:00 AM,14.553,14.697,,
13,08.02.21 01:12:00 AM,14.577,14.625,,
14,08.02.21 01:13:00 AM,14.601,14.649,,
15,08.02.21 01:14:00 AM,14.649,14.649,,
16,08.02.21 01:15:00 AM,14.697,14.673,,
17,08.02.21 01:16:00 AM,14.768,14.529,,
18,08.02.21 01:17:00 AM,14.768,14.529,,
19,08.02.21 01:18:00 AM,14.721,14.529,,
20,08.02.21 01:19:00 AM,14.649,14.481,,
21,08.02.21 01:20:00 AM,14.601,14.457,,
22,08.02.21 01:21:00 AM,14.553,14.505,,
23,08.02.21 01:22:00 AM,14.577,14.553,,
24,08.02.21 01:23:00 AM,14.505,14.553,,
25,08.02.21 01:24:00 AM,14.457,14.505,,
26,08.02.21 01:25:00 AM,14.409,14.361,,
27,08.02.21 01:26:00 AM,14.385,14.385,,
28,08.02.21 01:27:00 AM,14.361,14.361,,
29,08.02.21 01:28:00 AM,14.337,14.266,,
30,08.02.21 01:29:00 AM,14.290,14.170,,
31,08.02.21 01:30:00 AM,14.266,14.146,,
32,08.02.21 01:31:00 AM,14.266,14.194,,
33,08.02.21 01:32:00 AM,14.242,14.242,,
34,08.02.21 01:33:00 AM,14.266,14.314,,
35,08.02.21 01:34:00 AM,14.218,14.337,,
