"Tytuł wykresu: Garaż 1"
"Nr","Data Czas, GMT+02:00","Temp, °C (LGR S/N: 10049261, SEN S/N: 10049261)","Temp, °C (LGR S/N: 10049261, SEN S/N: 10049261)","Odłączony łącznik (LGR S/N: 10049261)","Koniec pliku (LGR S/N: 10049261)"
1,08.02.21 01:00:00 AM,18.699,18.557,Zarejestrowano,
2,08.02.21 01:01:00 AM,18.699,18.557,,
3,08.02.21 01:02:00 AM,18.699,18.557,,
4,08.02.21 01:03:00 AM,18.652,18.533,,
5,08.02.21 01:04:00 AM,18.652,18.509,,
6,08.02.21 01:05:00 AM,18.652,18.509,,
7,08.02.21 01:06:00 AM,18.652,18.485,,
8,08.02.21 01:07:00 AM,18.628,18.485,,
9,08.02.21 01:08:00 AM,18.604,18.461,,
10,08.02.21 01:09:00 AM,18.604,18.461,,
11,08.02.21 01:10:00 AM,18.604,18.461,,
12,08.02.21 01:11:00 AM,18.604,18.461,,
13,08.02.21 01:12:00 AM,18.580,18.461,,
14,08.02.21 01:13:00 AM,18.580,18.438,,
15,08.02.21 01:14:00 AM,18.557,18.438,,
16,08.02.21 01:15:00 AM,18.557,18.414,,
17,08.02.21 01:16:00 AM,18.557,18.414,,
18,08.02.21 01:17:00 AM,18.509,18.390,,
19,08.02.21 01:18:00 AM,18.509,18.366,,
20,08.02.21 01:19:00 AM,18.509,18.366,,
21,08.02.21 01:20:00 AM,18.509,18.366,,
22,08.02.21 01:21:00 AM,18.485,18.343,,
23,08.02.21 01:22:00 AM,18.485,18.343,,
24,08.02.21 01:23:00 AM,18.485,18.343,,
25,08.02.21 01:24:00 AM,18.461,18.319,,
26,08.02.21 01:25:00 AM,18.461,18.319,,
27,08.02.21 01:26:00 AM,18.461,18.319,,
28,08.02.21 01:27:00 AM,18.461,18.319,,
29,08.02.21 01:28:00 AM,18.438,18.295,,
30,08.02.21 01:29:00 AM,18.414,18.271,,
31,08.02.21 01:30:00 AM,18.414,18.271,,
32,08.02.21 01:31:00 AM,18.390,18.271,,
33,08.02.21 01:32:00 AM,18.366,18.247,,
34,08.02.21 01:33:00 AM,18.366,18.224,,
35,08.02.21 01:34:00 AM,18.366,18.224,,
36,08.02.21 01:35:00 AM,18.366,18.224,,
37,08.02.21 01:36:00 AM,18.343,18.200,,
38,08.02.21 01:37:00 AM,18.343,18.200,,
39,08.02.21 01:38:00 AM,18.343,18.200,,
40,08.02.21 01:39:00 AM,18.343,18.176,,
41,08.02.21 01:40:00 AM,18.319,18.176,,
42,08.02.21 01:41:00 AM,18.319,18.176,,
43,08.02.21 01:42:00 AM,18.319,18.176,,
44,08.02.21 01:43:00 AM,18.319,18.152,,
45,08.02.21 01:44:00 AM,18.295,18.152,,
46,08.02.21 01:45:00 AM,18.271,18.129,,
47,08.02.21 01:46:00 AM,18.271,18.129,,
48,08.02.21 01:47:00 AM,18.271,18.129,,
49,08.02.21 01:48:00 AM,18.271,18.105,,
50,08.02.21 01:49:00 AM,18.247,18.105,,
51,08.02.21 01:50:00 AM,18.224,18.081,,
52,08.02.21 01:51:00 AM,18.224,18.081,,
53,08.02.21 01:52:00 AM,18.200,18.057,,
54,08.02.21 01:53:00 AM,18.200,18.057,,
55,08.02.21 01:54:00 AM,18.200,18.033,,
56,08.02.21 01:55:00 AM,18.176,18.033,,
57,08.02.21 01:56:00 AM,18.176,18.033,,
58,08.02.21 01:57:00 AM,18.176,18.010,,
59,08.02.21 01:58:00 AM,18.176,18.010,,
60,08.02.21 01:59:00 AM,18.152,18.010,,
61,08.02.21 02:00:00 AM,18.152,17.986,,
62,08.02.21 02:01:00 AM,18.129,17.986,,
63,08.02.21 02:02:00 AM,18.129,17.986,,
64,08.02.21 02:03:00 AM,18.105,17.962,,
65,08.02.21 02:04:00 AM,18.105,17.938,,
66,08.02.21 02:05:00 AM,18.081,17.938,,
67,08.02.21 02:06:00 AM,18.081,17.938,,
68,08.02.21 02:07:00 AM,18.081,17.938,,
69,08.02.21 02:08:00 AM,18.081,17.915,,
70,08.02.21 02:09:00 AM,18.057,17.891,,
71,08.02.21 02:10:00 AM,18.057,17.891,,
72,08.02.21 02:11:00 AM,18.033,17.891,,
73,08.02.21 02:12:00 AM,18.033,17.867,,
74,08.02.21 02:13:00 AM,18.010,17.867,,
75,08.02.21 02:14:00 AM,17.986,17.843,,
76,08.02.21 02:15:00 AM,17.986,17.843,,
77,08.02.21 02:16:00 AM,17.986,17.819,,
78,08.02.21 02:17:00 AM,17.986,17.819,,
79,08.02.21 02:18:00 AM,17.986,17.819,,
80,08.02.21 02:19:00 AM,17.962,17.819,,
81,08.02.21 02:20:00 AM,17.962,17.796,,
82,08.02.21 02:21:00 AM,17.938,17.796,,
83,08.02.21 02:22:00 AM,17.938,17.796,,
84,08.02.21 02:23:00 AM,17.938,17.796,,
85,08.02.21 02:24:00 AM,17.915,17.772,,
86,08.02.21 02:25:00 AM,17.891,17.748,,
87,08.02.21 02:26:00 AM,17.891,17.748,,
88,08.02.21 02:27:00 AM,17.891,17.748,,
89,08.02.21 02:28:00 AM,17.891,17.724,,
90,08.02.21 02:29:00 AM,17.867,17.724,,
91,08.02.21 02:30:00 AM,17.867,17.701,,
92,08.02.21 02:31:00 AM,17.843,17.701,,
93,08.02.21 02:32:00 AM,17.819,17.677,,
94,08.02.21 02:33:00 AM,17.819,17.653,,
95,08.02.21 02:34:00 AM,17.819,17.653,,
96,08.02.21 02:35:00 AM,17.796,17.653,,
97,08.02.21 02:36:00 AM,17.796,17.629,,
98,08.02.21 02:37:00 AM,17.772,17.629,,
99,08.02.21 02:38:00 AM,17.772,17.605,,
100,08.02.21 02:39:00 AM,17.748,17.605,,
101,08.02.21 02:40:00 AM,17.748,17.605,,
102,08.02.21 02:41:00 AM,17.748,17.582,,
103,08.02.21 02:42:00 AM,17.748,17.582,,
104,08.02.21 02:43:00 AM,17.724,17.582,,
105,08.02.21 02:44:00 AM,17.701,17.558,,
106,08.02.21 02:45:00 AM,17.701,17.558,,
107,08.02.21 02:46:00 AM,17.701,17.558,,
108,08.02.21 02:47:00 AM,17.677,17.534,,
109,08.02.21 02:48:00 AM,17.677,17.534,,
110,08.02.21 02:49:00 AM,17.677,17.510,,
111,08.02.21 02:50:00 AM,17.677,17.510,,
112,08.02.21 02:51:00 AM,17.653,17.510,,
113,08.02.21 02:52:00 AM,17.653,17.510,,
114,08.02.21 02:53:00 AM,17.653,17.510,,
115,08.02.21 02:54:00 AM,17.629,17.486,,
116,08.02.21 02:55:00 AM,17.605,17.486,,
117,08.02.21 02:56:00 AM,17.605,17.463,,
118,08.02.21 02:57:00 AM,17.582,17.463,,
119,08.02.21 02:58:00 AM,17.582,17.439,,
120,08.02.21 02:59:00 AM,17.582,17.415,,
121,08.02.21 03:00:00 AM,17.582,17.415,,
122,08.02.21 03:01:00 AM,17.558,17.415,,
123,08.02.21 03:02:00 AM,17.558,17.415,,
124,08.02.21 03:03:00 AM,17.558,17.391,,
125,08.02.21 03:04:00 AM,17.534,17.391,,
126,08.02.21 03:05:00 AM,17.534,17.391,,
127,08.02.21 03:06:00 AM,17.534,17.368,,
128,08.02.21 03:07:00 AM,17.510,17.368,,
129,08.02.21 03:08:00 AM,17.510,17.368,,
130,08.02.21 03:09:00 AM,17.510,17.368,,
131,08.02.21 03:10:00 AM,17.486,17.344,,
132,08.02.21 03:11:00 AM,17.486,17.344,,
133,08.02.21 03:12:00 AM,17.463,17.320,,
134,08.02.21 03:13:00 AM,17.463,17.320,,
135,08.02.21 03:14:00 AM,17.463,17.320,,
136,08.02.21 03:15:00 AM,17.463,17.320,,
137,08.02.21 03:16:00 AM,17.439,17.296,,
138,08.02.21 03:17:00 AM,17.415,17.296,,
139,08.02.21 03:18:00 AM,17.415,17.272,,
140,08.02.21 03:19:00 AM,17.415,17.272,,
141,08.02.21 03:20:00 AM,17.415,17.272,,
142,08.02.21 03:21:00 AM,17.391,17.249,,
143,08.02.21 03:22:00 AM,17.391,17.249,,
144,08.02.21 03:23:00 AM,17.391,17.249,,
145,08.02.21 03:24:00 AM,17.391,17.249,,
146,08.02.21 03:25:00 AM,17.368,17.225,,
147,08.02.21 03:26:00 AM,17.368,17.225,,
148,08.02.21 03:27:00 AM,17.368,17.225,,
149,08.02.21 03:28:00 AM,17.344,17.225,,
150,08.02.21 03:29:00 AM,17.344,17.225,,
151,08.02.21 03:30:00 AM,17.320,17.201,,
152,08.02.21 03:31:00 AM,17.320,17.177,,
153,08.02.21 03:32:00 AM,17.320,17.177,,
