"Tytuł wykresu: Dach 2"
"Nr","Data Czas, GMT+02:00","Temp, °C (LGR S/N: 10153753, SEN S/N: 10153753)","Temp, °C (LGR S/N: 10153753, SEN S/N: 10153753)","Odłączony łącznik (LGR S/N: 10153753)","Koniec pliku (LGR S/N: 10153753)"
1,08.02.21 01:00:00 AM,13.786,14.050,Zarejestrowano,
2,08.02.21 01:01:00 AM,13.810,14.050,,
3,08.02.21 01:02:00 AM,13.786,14.026,,
4,08.02.21 01:03:00 AM,13.786,14.026,,
5,08.02.21 01:04:00 AM,13.834,14.050,,
6,08.02.21 01:05:00 AM,13.858,14.074,,
7,08.02.21 01:06:00 AM,13.834,14.074,,
8,08.02.21 01:07:00 AM,13.810,14.050,,
9,08.02.21 01:08:00 AM,13.786,14.026,,
10,08.02.21 01:09:00 AM,13.762,13.978,,
11,08.02.21 01:10:00 AM,13.786,14.002,,
12,08.02.21 01:11:00 AM,13.786,14.002,,
13,08.02.21 01:12:00 AM,13.786,14.002,,
14,08.02.21 01:13:00 AM,13.834,14.026,,
15,08.02.21 01:14:00 AM,13.882,14.074,,
16,08.02.21 01:15:00 AM,13.882,14.074,,
17,08.02.21 01:16:00 AM,13.810,14.026,,
18,08.02.21 01:17:00 AM,13.786,14.002,,
19,08.02.21 01:18:00 AM,13.738,13.978,,
20,08.02.21 01:19:00 AM,13.738,13.954,,
21,08.02.21 01:20:00 AM,13.666,13.906,,
22,08.02.21 01:21:00 AM,13.642,13.882,,
23,08.02.21 01:22:00 AM,13.522,13.786,,
24,08.02.21 01:23:00 AM,13.522,13.762,,
25,08.02.21 01:24:00 AM,13.473,13.714,,
26,08.02.21 01:25:00 AM,13.522,13.738,,
27,08.02.21 01:26:00 AM,13.570,13.762,,
28,08.02.21 01:27:00 AM,13.546,13.738,,
29,08.02.21 01:28:00 AM,13.642,13.786,,
30,08.02.21 01:29:00 AM,13.570,13.786,,
31,08.02.21 01:30:00 AM,13.642,13.810,,
32,08.02.21 01:31:00 AM,13.594,13.786,,
33,08.02.21 01:32:00 AM,13.497,13.714,,
34,08.02.21 01:33:00 AM,13.377,13.642,,
35,08.02.21 01:34:00 AM,13.281,13.570,,
36,08.02.21 01:35:00 AM,13.185,13.473,,
37,08.02.21 01:36:00 AM,13.112,13.425,,
38,08.02.21 01:37:00 AM,12.968,13.329,,
39,08.02.21 01:38:00 AM,12.896,13.281,,
40,08.02.21 01:39:00 AM,12.992,13.281,,
41,08.02.21 01:40:00 AM,13.112,13.353,,
42,08.02.21 01:41:00 AM,13.209,13.449,,
43,08.02.21 01:42:00 AM,13.185,13.449,,
44,08.02.21 01:43:00 AM,13.233,13.473,,
45,08.02.21 01:44:00 AM,13.112,13.401,,
46,08.02.21 01:45:00 AM,13.112,13.377,,
47,08.02.21 01:46:00 AM,13.161,13.425,,
48,08.02.21 01:47:00 AM,13.233,13.449,,
49,08.02.21 01:48:00 AM,13.064,13.353,,
50,08.02.21 01:49:00 AM,12.968,13.281,,
51,08.02.21 01:50:00 AM,12.968,13.209,,
52,08.02.21 01:51:00 AM,13.064,13.257,,
53,08.02.21 01:52:00 AM,13.161,13.329,,
54,08.02.21 01:53:00 AM,13.064,13.305,,
55,08.02.21 01:54:00 AM,13.016,13.257,,
56,08.02.21 01:55:00 AM,13.209,13.353,,
57,08.02.21 01:56:00 AM,13.209,13.377,,
58,08.02.21 01:57:00 AM,13.185,13.353,,
59,08.02.21 01:58:00 AM,12.968,13.233,,
60,08.02.21 01:59:00 AM,13.088,13.257,,
61,08.02.21 02:00:00 AM,13.064,13.233,,
62,08.02.21 02:01:00 AM,12.968,13.209,,
63,08.02.21 02:02:00 AM,13.137,13.257,,
64,08.02.21 02:03:00 AM,13.112,13.257,,
65,08.02.21 02:04:00 AM,13.233,13.329,,
66,08.02.21 02:05:00 AM,13.257,13.353,,
67,08.02.21 02:06:00 AM,13.281,13.377,,
68,08.02.21 02:07:00 AM,13.281,13.377,,
69,08.02.21 02:08:00 AM,13.353,13.401,,
70,08.02.21 02:09:00 AM,13.305,13.401,,
71,08.02.21 02:10:00 AM,13.257,13.353,,
72,08.02.21 02:11:00 AM,13.257,13.353,,
73,08.02.21 02:12:00 AM,13.281,13.353,,
74,08.02.21 02:13:00 AM,13.377,13.425,,
75,08.02.21 02:14:00 AM,13.329,13.425,,
76,08.02.21 02:15:00 AM,13.281,13.353,,
77,08.02.21 02:16:00 AM,13.257,13.353,,
78,08.02.21 02:17:00 AM,13.209,13.305,,
79,08.02.21 02:18:00 AM,13.088,13.209,,
80,08.02.21 02:19:00 AM,12.968,13.137,,
81,08.02.21 02:20:00 AM,12.944,13.088,,
82,08.02.21 02:21:00 AM,12.992,13.112,,
83,08.02.21 02:22:00 AM,13.016,13.137,,
84,08.02.21 02:23:00 AM,12.871,13.064,,
85,08.02.21 02:24:00 AM,13.112,13.185,,
86,08.02.21 02:25:00 AM,13.185,13.233,,
87,08.02.21 02:26:00 AM,13.112,13.209,,
88,08.02.21 02:27:00 AM,13.040,13.161,,
89,08.02.21 02:28:00 AM,13.040,13.161,,
90,08.02.21 02:29:00 AM,12.871,13.016,,
91,08.02.21 02:30:00 AM,13.137,13.161,,
92,08.02.21 02:31:00 AM,12.896,13.016,,
93,08.02.21 02:32:00 AM,12.968,13.064,,
94,08.02.21 02:33:00 AM,12.896,13.016,,
95,08.02.21 02:34:00 AM,13.161,13.209,,
96,08.02.21 02:35:00 AM,13.064,13.137,,
97,08.02.21 02:36:00 AM,13.233,13.257,,
98,08.02.21 02:37:00 AM,13.161,13.233,,
99,08.02.21 02:38:00 AM,13.064,13.161,,
100,08.02.21 02:39:00 AM,12.968,13.064,,
101,08.02.21 02:40:00 AM,12.992,13.064,,
102,08.02.21 02:41:00 AM,12.968,13.040,,
103,08.02.21 02:42:00 AM,13.112,13.137,,
104,08.02.21 02:43:00 AM,13.088,13.137,,
105,08.02.21 02:44:00 AM,13.064,13.137,,
106,08.02.21 02:45:00 AM,13.088,13.137,,
107,08.02.21 02:46:00 AM,13.016,13.088,,
108,08.02.21 02:47:00 AM,13.209,13.233,,
109,08.02.21 02:48:00 AM,13.233,13.257,,
110,08.02.21 02:49:00 AM,13.233,13.257,,
111,08.02.21 02:50:00 AM,13.233,13.257,,
112,08.02.21 02:51:00 AM,13.329,13.329,,
113,08.02.21 02:52:00 AM,13.305,13.305,,
114,08.02.21 02:53:00 AM,13.209,13.209,,
115,08.02.21 02:54:00 AM,13.209,13.209,,
116,08.02.21 02:55:00 AM,13.185,13.209,,
117,08.02.21 02:56:00 AM,13.137,13.161,,
118,08.02.21 02:57:00 AM,13.209,13.209,,
119,08.02.21 02:58:00 AM,13.088,13.112,,
120,08.02.21 02:59:00 AM,13.112,13.112,,
121,08.02.21 03:00:00 AM,13.064,13.088,,
122,08.02.21 03:01:00 AM,13.137,13.137,,
123,08.02.21 03:02:00 AM,13.185,13.209,,
124,08.02.21 03:03:00 AM,13.209,13.209,,
125,08.02.21 03:04:00 AM,13.185,13.209,,
126,08.02.21 03:05:00 AM,13.209,13.185,,
127,08.02.21 03:06:00 AM,13.161,13.161,,
128,08.02.21 03:07:00 AM,13.112,13.112,,
129,08.02.21 03:08:00 AM,13.088,13.112,,
130,08.02.21 03:09:00 AM,13.016,13.040,,
131,08.02.21 03:10:00 AM,13.064,13.040,,
132,08.02.21 03:11:00 AM,13.161,13.112,,
133,08.02.21 03:12:00 AM,13.161,13.161,,
134,08.02.21 03:13:00 AM,13.088,13.064,,
135,08.02.21 03:14:00 AM,13.088,13.088,,
136,08.02.21 03:15:00 AM,13.064,13.064,,
137,08.02.21 03:16:00 AM,12.920,12.968,,
138,08.02.21 03:17:00 AM,13.040,13.040,,
139,08.02.21 03:18:00 AM,13.112,13.112,,
140,08.02.21 03:19:00 AM,13.016,13.040,,
141,08.02.21 03:20:00 AM,13.016,13.016,,
142,08.02.21 03:21:00 AM,12.944,12.944,,
143,08.02.21 03:22:00 AM,12.871,12.896,,
144,08.02.21 03:23:00 AM,12.871,12.871,,
145,08.02.21 03:24:00 AM,12.871,12.871,,
146,08.02.21 03:25:00 AM,12.751,12.775,,
147,08.02.21 03:26:00 AM,12.775,12.775,,
148,08.02.21 03:27:00 AM,12.678,12.727,,
149,08.02.21 03:28:00 AM,12.871,12.847,,
150,08.02.21 03:29:00 AM,12.799,12.823,,
151,08.02.21 03:30:00 AM,12.799,12.799,,
152,08.02.21 03:31:00 AM,12.896,12.871,,
153,08.02.21 03:32:00 AM,12.799,12.823,,
154,08.02.21 03:33:00 AM,12.727,12.775,,
155,08.02.21 03:34:00 AM,12.582,12.630,,
156,08.02.21 03:35:00 AM,12.630,12.630,,
157,08.02.21 03:36:00 AM,12.630,12.654,,
158,08.02.21 03:37:00 AM,12.582,12.606,,
159,08.02.21 03:38:00 AM,12.678,12.678,,
160,08.02.21 03:39:00 AM,12.582,12.582,,
161,08.02.21 03:40:00 AM,12.558,12.582,,
162,08.02.21 03:41:00 AM,12.775,12.727,,
163,08.02.21 03:42:00 AM,12.582,12.630,,
164,08.02.21 03:43:00 AM,12.678,12.678,,
165,08.02.21 03:44:00 AM,12.534,12.582,,
166,08.02.21 03:45:00 AM,12.558,12.582,,
167,08.02.21 03:46:00 AM,12.534,12.558,,
168,08.02.21 03:47:00 AM,12.340,12.437,,
169,08.02.21 03:48:00 AM,12.268,12.389,,
170,08.02.21 03:49:00 AM,12.437,12.437,,
171,08.02.21 03:50:00 AM,12.413,12.437,,
172,08.02.21 03:51:00 AM,12.243,12.340,,
173,08.02.21 03:52:00 AM,12.098,12.219,,
174,08.02.21 03:53:00 AM,12.243,12.243,,
175,08.02.21 03:54:00 AM,12.316,12.316,,
176,08.02.21 03:55:00 AM,12.340,12.340,,
177,08.02.21 03:56:00 AM,12.268,12.292,,
178,08.02.21 03:57:00 AM,12.461,12.437,,
179,08.02.21 03:58:00 AM,12.534,12.534,,
180,08.02.21 03:59:00 AM,12.413,12.461,,
181,08.02.21 04:00:00 AM,12.219,12.292,,
182,08.02.21 04:01:00 AM,12.558,12.509,,
183,08.02.21 04:02:00 AM,12.582,12.558,,
184,08.02.21 04:03:00 AM,12.582,12.582,,
185,08.02.21 04:04:00 AM,12.582,12.558,,
186,08.02.21 04:05:00 AM,12.437,12.485,,
187,08.02.21 04:06:00 AM,12.582,12.558,,
188,08.02.21 04:07:00 AM,12.485,12.509,,
189,08.02.21 04:08:00 AM,12.534,12.485,,
190,08.02.21 04:09:00 AM,12.437,12.461,,
191,08.02.21 04:10:00 AM,12.316,12.340,,
192,08.02.21 04:11:00 AM,12.292,12.268,,
193,08.02.21 04:12:00 AM,12.292,12.292,,
194,08.02.21 04:13:00 AM,12.050,12.147,,
195,08.02.21 04:14:00 AM,12.050,12.098,,
196,08.02.21 04:15:00 AM,12.001,12.050,,
197,08.02.21 04:16:00 AM,12.195,12.147,,
198,08.02.21 04:17:00 AM,12.243,12.219,,
199,08.02.21 04:18:00 AM,12.050,12.122,,
200,08.02.21 04:19:00 AM,12.025,12.050,,
201,08.02.21 04:20:00 AM,11.856,11.953,,
202,08.02.21 04:21:00 AM,11.953,11.977,,
203,08.02.21 04:22:00 AM,12.122,12.122,,
204,08.02.21 04:23:00 AM,11.880,12.001,,
205,08.02.21 04:24:00 AM,12.050,12.074,,
206,08.02.21 04:25:00 AM,12.171,12.171,,
207,08.02.21 04:26:00 AM,12.147,12.147,,
208,08.02.21 04:27:00 AM,12.268,12.219,,
209,08.02.21 04:28:00 AM,12.074,12.122,,
210,08.02.21 04:29:00 AM,12.098,12.122,,
211,08.02.21 04:30:00 AM,12.098,12.147,,
212,08.02.21 04:31:00 AM,12.243,12.243,,
213,08.02.21 04:32:00 AM,12.268,12.340,,
214,08.02.21 04:33:00 AM,12.340,12.364,,
215,08.02.21 04:34:00 AM,12.316,12.389,,
216,08.02.21 04:35:00 AM,12.340,12.413,,
217,08.02.21 04:36:00 AM,12.147,12.292,,
218,08.02.21 04:37:00 AM,12.098,12.195,,
219,08.02.21 04:38:00 AM,12.243,12.243,,
220,08.02.21 04:39:00 AM,12.195,12.292,,
221,08.02.21 04:40:00 AM,12.292,12.292,,
222,08.02.21 04:41:00 AM,12.219,12.268,,
223,08.02.21 04:42:00 AM,12.171,12.171,,
224,08.02.21 04:43:00 AM,12.292,12.316,,
225,08.02.21 04:44:00 AM,12.292,12.292,,
226,08.02.21 04:45:00 AM,12.437,12.364,,
227,08.02.21 04:46:00 AM,12.461,12.389,,
228,08.02.21 04:47:00 AM,12.389,12.364,,
229,08.02.21 04:48:00 AM,12.389,12.364,,
230,08.02.21 04:49:00 AM,12.413,12.389,,
231,08.02.21 04:50:00 AM,12.389,12.389,,
232,08.02.21 04:51:00 AM,12.461,12.413,,
233,08.02.21 04:52:00 AM,12.461,12.437,,
234,08.02.21 04:53:00 AM,12.582,12.558,,
235,08.02.21 04:54:00 AM,12.509,12.509,,
236,08.02.21 04:55:00 AM,12.534,12.558,,
237,08.02.21 04:56:00 AM,12.461,12.534,,
238,08.02.21 04:57:00 AM,12.485,12.534,,
239,08.02.21 04:58:00 AM,12.582,12.630,,
240,08.02.21 04:59:00 AM,12.703,12.727,,
241,08.02.21 05:00:00 AM,12.630,12.678,,
242,08.02.21 05:01:00 AM,12.654,12.727,,
243,08.02.21 05:02:00 AM,12.775,12.799,,
244,08.02.21 05:03:00 AM,12.678,12.751,,
245,08.02.21 05:04:00 AM,12.678,12.751,,
246,08.02.21 05:05:00 AM,12.678,12.727,,
247,08.02.21 05:06:00 AM,12.799,12.823,,
248,08.02.21 05:07:00 AM,12.847,12.871,,
249,08.02.21 05:08:00 AM,12.896,12.871,,
250,08.02.21 05:09:00 AM,12.871,12.871,,
251,08.02.21 05:10:00 AM,12.847,12.847,,
252,08.02.21 05:11:00 AM,12.871,12.871,,
253,08.02.21 05:12:00 AM,12.847,12.847,,
254,08.02.21 05:13:00 AM,12.847,12.823,,
255,08.02.21 05:14:00 AM,12.871,12.847,,
256,08.02.21 05:15:00 AM,12.896,12.847,,
257,08.02.21 05:16:00 AM,12.823,12.775,,
258,08.02.21 05:17:00 AM,12.799,12.775,,
259,08.02.21 05:18:00 AM,12.775,12.775,,
260,08.02.21 05:19:00 AM,12.727,12.727,,
261,08.02.21 05:20:00 AM,12.847,12.799,,
262,08.02.21 05:21:00 AM,12.823,12.823,,
263,08.02.21 05:22:00 AM,12.871,12.871,,
264,08.02.21 05:23:00 AM,12.823,12.871,,
265,08.02.21 05:24:00 AM,12.896,12.920,,
266,08.02.21 05:25:00 AM,12.920,12.968,,
267,08.02.21 05:26:00 AM,12.920,12.968,,
268,08.02.21 05:27:00 AM,12.968,13.016,,
269,08.02.21 05:28:00 AM,12.992,13.040,,
270,08.02.21 05:29:00 AM,12.992,13.040,,
271,08.02.21 05:30:00 AM,13.040,13.088,,
272,08.02.21 05:31:00 AM,13.040,13.088,,
273,08.02.21 05:32:00 AM,13.064,13.112,,
274,08.02.21 05:33:00 AM,13.088,13.137,,
275,08.02.21 05:34:00 AM,13.112,13.161,,
276,08.02.21 05:35:00 AM,13.112,13.161,,
277,08.02.21 05:36:00 AM,13.112,13.161,,
278,08.02.21 05:37:00 AM,13.112,13.161,,
279,08.02.21 05:38:00 AM,13.088,13.137,,
280,08.02.21 05:39:00 AM,13.088,13.137,,
281,08.02.21 05:40:00 AM,13.064,13.112,,
282,08.02.21 05:41:00 AM,13.088,13.137,,
283,08.02.21 05:42:00 AM,13.064,13.112,,
284,08.02.21 05:43:00 AM,13.040,13.112,,
285,08.02.21 05:44:00 AM,13.088,13.161,,
286,08.02.21 05:45:00 AM,13.088,13.161,,
287,08.02.21 05:46:00 AM,13.137,13.209,,
288,08.02.21 05:47:00 AM,13.112,13.209,,
289,08.02.21 05:48:00 AM,13.209,13.257,,
290,08.02.21 05:49:00 AM,13.209,13.281,,
291,08.02.21 05:50:00 AM,13.257,13.329,,
292,08.02.21 05:51:00 AM,13.233,13.305,,
293,08.02.21 05:52:00 AM,13.281,13.353,,
294,08.02.21 05:53:00 AM,13.353,13.401,,
295,08.02.21 05:54:00 AM,13.353,13.401,,
296,08.02.21 05:55:00 AM,13.353,13.401,,
297,08.02.21 05:56:00 AM,13.353,13.401,,
298,08.02.21 05:57:00 AM,13.353,13.401,,
299,08.02.21 05:58:00 AM,13.449,13.449,,
300,08.02.21 05:59:00 AM,13.449,13.449,,
301,08.02.21 06:00:00 AM,13.449,13.497,,
302,08.02.21 06:01:00 AM,13.594,13.594,,
303,08.02.21 06:02:00 AM,13.666,13.714,,
304,08.02.21 06:03:00 AM,13.738,13.810,,
305,08.02.21 06:04:00 AM,13.738,13.834,,
306,08.02.21 06:05:00 AM,13.762,13.858,,
307,08.02.21 06:06:00 AM,13.714,13.810,,
308,08.02.21 06:07:00 AM,13.738,13.834,,
309,08.02.21 06:08:00 AM,13.738,13.882,,
310,08.02.21 06:09:00 AM,13.786,13.906,,
311,08.02.21 06:10:00 AM,13.786,13.882,,
312,08.02.21 06:11:00 AM,13.762,13.858,,
313,08.02.21 06:12:00 AM,13.786,13.858,,
314,08.02.21 06:13:00 AM,13.810,13.882,,
315,08.02.21 06:14:00 AM,13.786,13.834,,
316,08.02.21 06:15:00 AM,13.738,13.810,,
317,08.02.21 06:16:00 AM,13.690,13.738,,
318,08.02.21 06:17:00 AM,13.642,13.714,,
319,08.02.21 06:18:00 AM,13.618,13.666,,
320,08.02.21 06:19:00 AM,13.594,13.642,,
321,08.02.21 06:20:00 AM,13.594,13.642,,
322,08.02.21 06:21:00 AM,13.594,13.642,,
323,08.02.21 06:22:00 AM,13.690,13.690,,
324,08.02.21 06:23:00 AM,13.714,13.762,,
325,08.02.21 06:24:00 AM,13.738,13.786,,
326,08.02.21 06:25:00 AM,13.738,13.786,,
327,08.02.21 06:26:00 AM,13.786,13.810,,
328,08.02.21 06:27:00 AM,13.762,13.786,,
329,08.02.21 06:28:00 AM,13.786,13.810,,
330,08.02.21 06:29:00 AM,13.786,13.786,,
331,08.02.21 06:30:00 AM,13.810,13.810,,
332,08.02.21 06:31:00 AM,13.786,13.786,,
333,08.02.21 06:32:00 AM,13.834,13.834,,
334,08.02.21 06:33:00 AM,13.858,13.834,,
335,08.02.21 06:34:00 AM,13.882,13.882,,
336,08.02.21 06:35:00 AM,13.906,13.906,,
337,08.02.21 06:36:00 AM,13.954,13.930,,
338,08.02.21 06:37:00 AM,13.978,13.978,,
339,08.02.21 06:38:00 AM,13.978,13.978,,
340,08.02.21 06:39:00 AM,14.026,14.026,,
341,08.02.21 06:40:00 AM,14.050,14.050,,
342,08.02.21 06:41:00 AM,14.122,14.122,,
343,08.02.21 06:42:00 AM,14.146,14.146,,
344,08.02.21 06:43:00 AM,14.218,14.218,,
345,08.02.21 06:44:00 AM,14.290,14.290,,
346,08.02.21 06:45:00 AM,14.433,14.433,,
347,08.02.21 06:46:00 AM,14.577,14.601,,
348,08.02.21 06:47:00 AM,14.649,14.697,,
349,08.02.21 06:48:00 AM,14.745,14.792,,
350,08.02.21 06:49:00 AM,14.840,14.888,,
351,08.02.21 06:50:00 AM,14.768,14.888,,
352,08.02.21 06:51:00 AM,14.745,14.888,,
353,08.02.21 06:52:00 AM,14.816,14.936,,
354,08.02.21 06:53:00 AM,14.840,14.936,,
355,08.02.21 06:54:00 AM,14.840,14.960,,
356,08.02.21 06:55:00 AM,14.840,14.936,,
357,08.02.21 06:56:00 AM,14.888,14.984,,
358,08.02.21 06:57:00 AM,14.840,14.888,,
359,08.02.21 06:58:00 AM,14.768,14.840,,
360,08.02.21 06:59:00 AM,14.673,14.745,,
361,08.02.21 07:00:00 AM,14.673,14.721,,
362,08.02.21 07:01:00 AM,14.625,14.649,,
363,08.02.21 07:02:00 AM,14.577,14.601,,
364,08.02.21 07:03:00 AM,14.505,14.553,,
365,08.02.21 07:04:00 AM,14.529,14.553,,
366,08.02.21 07:05:00 AM,14.625,14.601,,
367,08.02.21 07:06:00 AM,14.649,14.625,,
368,08.02.21 07:07:00 AM,14.649,14.649,,
369,08.02.21 07:08:00 AM,14.649,14.625,,
370,08.02.21 07:09:00 AM,14.697,14.649,,
371,08.02.21 07:10:00 AM,14.745,14.721,,
372,08.02.21 07:11:00 AM,14.888,14.816,,
373,08.02.21 07:12:00 AM,14.864,14.840,,
374,08.02.21 07:13:00 AM,15.031,14.936,,
375,08.02.21 07:14:00 AM,15.031,14.984,,
376,08.02.21 07:15:00 AM,15.103,15.008,,
377,08.02.21 07:16:00 AM,15.318,15.127,,
378,08.02.21 07:17:00 AM,15.796,15.318,,
379,08.02.21 07:18:00 AM,16.082,15.438,,
380,08.02.21 07:19:00 AM,16.368,15.438,,
381,08.02.21 07:20:00 AM,16.415,15.390,,
382,08.02.21 07:21:00 AM,16.725,15.581,,
383,08.02.21 07:22:00 AM,17.249,16.034,,
384,08.02.21 07:23:00 AM,17.463,16.558,,
385,08.02.21 07:24:00 AM,17.653,16.987,,
386,08.02.21 07:25:00 AM,18.033,17.463,,
387,08.02.21 07:26:00 AM,18.366,17.843,,
388,08.02.21 07:27:00 AM,18.509,18.033,,
389,08.02.21 07:28:00 AM,18.652,18.485,,
390,08.02.21 07:29:00 AM,18.985,18.699,,
391,08.02.21 07:30:00 AM,19.555,18.889,,
392,08.02.21 07:31:00 AM,19.413,19.008,,
393,08.02.21 07:32:00 AM,19.532,19.912,,
394,08.02.21 07:33:00 AM,19.318,19.888,,
395,08.02.21 07:34:00 AM,19.270,19.722,,
396,08.02.21 07:35:00 AM,19.246,20.079,,
397,08.02.21 07:36:00 AM,19.436,19.960,,
398,08.02.21 07:37:00 AM,19.651,20.103,,
399,08.02.21 07:38:00 AM,19.603,19.984,,
400,08.02.21 07:39:00 AM,20.770,20.889,,
401,08.02.21 07:40:00 AM,20.770,20.698,,
402,08.02.21 07:41:00 AM,21.127,21.318,,
403,08.02.21 07:42:00 AM,21.223,21.175,,
404,08.02.21 07:43:00 AM,21.676,21.652,,
405,08.02.21 07:44:00 AM,22.130,22.202,,
406,08.02.21 07:45:00 AM,21.676,21.843,,
407,08.02.21 07:46:00 AM,22.034,21.318,,
408,08.02.21 07:47:00 AM,21.533,21.008,,
409,08.02.21 07:48:00 AM,22.561,21.891,,
410,08.02.21 07:49:00 AM,22.298,22.034,,
411,08.02.21 07:50:00 AM,22.226,21.700,,
412,08.02.21 07:51:00 AM,22.321,21.557,,
413,08.02.21 07:52:00 AM,22.705,21.772,,
414,08.02.21 07:53:00 AM,22.776,21.676,,
415,08.02.21 07:54:00 AM,24.532,22.944,,
416,08.02.21 07:55:00 AM,24.532,22.513,,
417,08.02.21 07:56:00 AM,24.653,22.417,,
418,08.02.21 07:57:00 AM,24.388,22.369,,
419,08.02.21 07:58:00 AM,24.968,23.112,,
420,08.02.21 07:59:00 AM,24.895,23.208,,
421,08.02.21 08:00:00 AM,25.380,23.376,,
422,08.02.21 08:01:00 AM,24.557,22.729,,
423,08.02.21 08:02:00 AM,24.050,22.585,,
424,08.02.21 08:03:00 AM,23.665,22.369,,
425,08.02.21 08:04:00 AM,24.026,22.753,,
426,08.02.21 08:05:00 AM,24.750,23.232,,
427,08.02.21 08:06:00 AM,24.146,22.705,,
428,08.02.21 08:07:00 AM,23.689,22.537,,
429,08.02.21 08:08:00 AM,23.136,21.939,,
430,08.02.21 08:09:00 AM,22.082,20.984,,
431,08.02.21 08:10:00 AM,22.178,21.270,,
432,08.02.21 08:11:00 AM,22.226,21.318,,
433,08.02.21 08:12:00 AM,22.345,21.485,,
434,08.02.21 08:13:00 AM,22.250,21.270,,
435,08.02.21 08:14:00 AM,20.579,19.746,,
436,08.02.21 08:15:00 AM,19.865,19.199,,
437,08.02.21 08:16:00 AM,21.509,21.032,,
438,08.02.21 08:17:00 AM,21.079,20.436,,
439,08.02.21 08:18:00 AM,20.317,19.603,,
440,08.02.21 08:19:00 AM,21.413,20.698,,
441,08.02.21 08:20:00 AM,22.609,21.843,,
442,08.02.21 08:21:00 AM,22.465,21.604,,
443,08.02.21 08:22:00 AM,21.652,20.889,,
444,08.02.21 08:23:00 AM,20.984,20.317,,
445,08.02.21 08:24:00 AM,20.531,19.841,,
446,08.02.21 08:25:00 AM,20.055,19.460,,
447,08.02.21 08:26:00 AM,20.031,19.508,,
448,08.02.21 08:27:00 AM,19.793,19.270,,
449,08.02.21 08:28:00 AM,19.746,19.318,,
450,08.02.21 08:29:00 AM,20.889,20.555,,
451,08.02.21 08:30:00 AM,22.920,22.298,,
452,08.02.21 08:31:00 AM,22.609,21.772,,
453,08.02.21 08:32:00 AM,22.800,22.058,,
454,08.02.21 08:33:00 AM,23.112,22.513,,
455,08.02.21 08:34:00 AM,22.561,21.843,,
456,08.02.21 08:35:00 AM,22.345,21.772,,
457,08.02.21 08:36:00 AM,21.891,21.270,,
458,08.02.21 08:37:00 AM,23.040,22.369,,
459,08.02.21 08:38:00 AM,22.920,22.154,,
460,08.02.21 08:39:00 AM,22.633,21.843,,
461,08.02.21 08:40:00 AM,22.274,21.533,,
462,08.02.21 08:41:00 AM,22.417,21.533,,
463,08.02.21 08:42:00 AM,22.034,21.175,,
464,08.02.21 08:43:00 AM,21.294,20.698,,
