"Tytuł wykresu: Szopa 1"
"Nr","Data Czas, GMT+02:00","Temp, °C (LGR S/N: 9940792, SEN S/N: 9940792)","Temp, °C (LGR S/N: 9940792, SEN S/N: 9940792)","Odłączony łącznik (LGR S/N: 9940792)","Koniec pliku (LGR S/N: 9940792)"
1,08.02.21 01:00:00 AM,14.745,14.984,Zarejestrowano,
2,08.02.21 01:01:00 AM,14.792,15.008,,
3,08.02.21 01:02:00 AM,14.792,14.984,,
4,08.02.21 01:03:00 AM,14.745,14.984,,
5,08.02.21 01:04:00 AM,14.745,14.936,,
6,08.02.21 01:05:00 AM,14.745,14.936,,
7,08.02.21 01:06:00 AM,14.745,14.936,,
8,08.02.21 01:07:00 AM,14.745,14.960,,
9,08.02.21 01:08:00 AM,14.792,14.960,,
10,08.02.21 01:09:00 AM,14.745,14.936,,
11,08.02.21 01:10:00 AM,14.721,14.888,,
12,08.02.21 01:11:00 AM,14.673,14.816,,
13,08.02.21 01:12:00 AM,14.577,14.816,,
14,08.02.21 01:13:00 AM,14.601,14.792,,
15,08.02.21 01:14:00 AM,14.577,14.792,,
16,08.02.21 01:15:00 AM,14.601,14.840,,
17,08.02.21 01:16:00 AM,14.625,14.888,,
18,08.02.21 01:17:00 AM,14.625,14.840,,
19,08.02.21 01:18:00 AM,14.649,14.888,,
20,08.02.21 01:19:00 AM,14.649,14.912,,
21,08.02.21 01:20:00 AM,14.649,14.888,,
22,08.02.21 01:21:00 AM,14.697,14.912,,
23,08.02.21 01:22:00 AM,14.697,14.888,,
24,08.02.21 01:23:00 AM,14.673,14.864,,
25,08.02.21 01:24:00 AM,14.649,14.840,,
26,08.02.21 01:25:00 AM,14.601,14.816,,
27,08.02.21 01:26:00 AM,14.601,14.840,,
28,08.02.21 01:27:00 AM,14.649,14.840,,
29,08.02.21 01:28:00 AM,14.625,14.792,,
30,08.02.21 01:29:00 AM,14.577,14.745,,
31,08.02.21 01:30:00 AM,14.553,14.721,,
32,08.02.21 01:31:00 AM,14.553,14.745,,
33,08.02.21 01:32:00 AM,14.553,14.721,,
34,08.02.21 01:33:00 AM,14.529,14.721,,
35,08.02.21 01:34:00 AM,14.529,14.721,,
36,08.02.21 01:35:00 AM,14.505,14.697,,
37,08.02.21 01:36:00 AM,14.481,14.649,,
38,08.02.21 01:37:00 AM,14.457,14.601,,
39,08.02.21 01:38:00 AM,14.457,14.601,,
40,08.02.21 01:39:00 AM,14.433,14.553,,
41,08.02.21 01:40:00 AM,14.290,14.457,,
42,08.02.21 01:41:00 AM,14.218,14.314,,
43,08.02.21 01:42:00 AM,14.218,14.385,,
44,08.02.21 01:43:00 AM,14.170,14.385,,
45,08.02.21 01:44:00 AM,14.170,14.409,,
46,08.02.21 01:45:00 AM,14.170,14.409,,
47,08.02.21 01:46:00 AM,14.170,14.433,,
48,08.02.21 01:47:00 AM,14.194,14.457,,
49,08.02.21 01:48:00 AM,14.266,14.481,,
50,08.02.21 01:49:00 AM,14.242,14.457,,
51,08.02.21 01:50:00 AM,14.218,14.409,,
52,08.02.21 01:51:00 AM,14.170,14.290,,
53,08.02.21 01:52:00 AM,14.170,14.361,,
54,08.02.21 01:53:00 AM,14.194,14.385,,
55,08.02.21 01:54:00 AM,14.122,14.361,,
56,08.02.21 01:55:00 AM,14.050,14.314,,
57,08.02.21 01:56:00 AM,14.050,14.218,,
58,08.02.21 01:57:00 AM,13.978,14.218,,
59,08.02.21 01:58:00 AM,14.026,14.242,,
60,08.02.21 01:59:00 AM,14.002,14.218,,
61,08.02.21 02:00:00 AM,14.002,14.122,,
62,08.02.21 02:01:00 AM,14.050,14.170,,
63,08.02.21 02:02:00 AM,13.930,14.122,,
64,08.02.21 02:03:00 AM,13.906,14.122,,
65,08.02.21 02:04:00 AM,13.834,14.074,,
66,08.02.21 02:05:00 AM,13.810,14.050,,
67,08.02.21 02:06:00 AM,13.810,14.026,,
68,08.02.21 02:07:00 AM,13.834,14.098,,
69,08.02.21 02:08:00 AM,13.834,14.170,,
70,08.02.21 02:09:00 AM,13.858,14.170,,
71,08.02.21 02:10:00 AM,13.882,14.218,,
72,08.02.21 02:11:00 AM,13.930,14.242,,
73,08.02.21 02:12:00 AM,13.930,14.242,,
74,08.02.21 02:13:00 AM,13.906,14.314,,
75,08.02.21 02:14:00 AM,13.882,14.266,,
