"Tytuł wykresu: Ziemia 2"
"Nr","Data Czas, GMT+02:00","Temp, °C (LGR S/N: 9893161, SEN S/N: 9893161)","Temp, °C (LGR S/N: 9893161, SEN S/N: 9893161)","Odłączony łącznik (LGR S/N: 9893161)","Koniec pliku (LGR S/N: 9893161)"
1,08.02.21 01:00:00 AM,18.985,18.913,Zarejestrowano,
2,08.02.21 01:01:00 AM,18.985,18.913,,
3,08.02.21 01:02:00 AM,18.985,18.913,,
4,08.02.21 01:03:00 AM,18.985,18.889,,
5,08.02.21 01:04:00 AM,18.985,18.889,,
6,08.02.21 01:05:00 AM,18.985,18.889,,
7,08.02.21 01:06:00 AM,18.985,18.889,,
8,08.02.21 01:07:00 AM,18.985,18.889,,
9,08.02.21 01:08:00 AM,18.961,18.889,,
10,08.02.21 01:09:00 AM,18.961,18.889,,
11,08.02.21 01:10:00 AM,18.961,18.889,,
12,08.02.21 01:11:00 AM,18.961,18.889,,
13,08.02.21 01:12:00 AM,18.961,18.866,,
14,08.02.21 01:13:00 AM,18.961,18.866,,
15,08.02.21 01:14:00 AM,18.961,18.866,,
16,08.02.21 01:15:00 AM,18.961,18.866,,
17,08.02.21 01:16:00 AM,18.937,18.866,,
18,08.02.21 01:17:00 AM,18.937,18.866,,
19,08.02.21 01:18:00 AM,18.937,18.866,,
20,08.02.21 01:19:00 AM,18.937,18.842,,
21,08.02.21 01:20:00 AM,18.937,18.842,,
22,08.02.21 01:21:00 AM,18.937,18.842,,
23,08.02.21 01:22:00 AM,18.937,18.842,,
24,08.02.21 01:23:00 AM,18.937,18.842,,
25,08.02.21 01:24:00 AM,18.937,18.842,,
26,08.02.21 01:25:00 AM,18.937,18.842,,
27,08.02.21 01:26:00 AM,18.937,18.842,,
28,08.02.21 01:27:00 AM,18.937,18.842,,
29,08.02.21 01:28:00 AM,18.937,18.818,,
30,08.02.21 01:29:00 AM,18.913,18.818,,
31,08.02.21 01:30:00 AM,18.913,18.818,,
32,08.02.21 01:31:00 AM,18.913,18.818,,
33,08.02.21 01:32:00 AM,18.913,18.818,,
34,08.02.21 01:33:00 AM,18.913,18.818,,
35,08.02.21 01:34:00 AM,18.913,18.818,,
36,08.02.21 01:35:00 AM,18.913,18.794,,
37,08.02.21 01:36:00 AM,18.889,18.794,,
38,08.02.21 01:37:00 AM,18.889,18.794,,
39,08.02.21 01:38:00 AM,18.889,18.794,,
40,08.02.21 01:39:00 AM,18.889,18.794,,
41,08.02.21 01:40:00 AM,18.889,18.794,,
42,08.02.21 01:41:00 AM,18.889,18.794,,
43,08.02.21 01:42:00 AM,18.889,18.794,,
44,08.02.21 01:43:00 AM,18.889,18.794,,
45,08.02.21 01:44:00 AM,18.889,18.771,,
46,08.02.21 01:45:00 AM,18.889,18.771,,
47,08.02.21 01:46:00 AM,18.889,18.771,,
48,08.02.21 01:47:00 AM,18.866,18.771,,
49,08.02.21 01:48:00 AM,18.866,18.771,,
50,08.02.21 01:49:00 AM,18.866,18.771,,
51,08.02.21 01:50:00 AM,18.866,18.747,,
52,08.02.21 01:51:00 AM,18.866,18.747,,
53,08.02.21 01:52:00 AM,18.866,18.747,,
54,08.02.21 01:53:00 AM,18.866,18.747,,
55,08.02.21 01:54:00 AM,18.866,18.747,,
56,08.02.21 01:55:00 AM,18.866,18.747,,
57,08.02.21 01:56:00 AM,18.842,18.747,,
58,08.02.21 01:57:00 AM,18.842,18.747,,
59,08.02.21 01:58:00 AM,18.842,18.747,,
60,08.02.21 01:59:00 AM,18.842,18.723,,
61,08.02.21 02:00:00 AM,18.842,18.723,,
62,08.02.21 02:01:00 AM,18.842,18.723,,
63,08.02.21 02:02:00 AM,18.842,18.723,,
64,08.02.21 02:03:00 AM,18.842,18.723,,
65,08.02.21 02:04:00 AM,18.842,18.699,,
66,08.02.21 02:05:00 AM,18.842,18.699,,
67,08.02.21 02:06:00 AM,18.842,18.699,,
68,08.02.21 02:07:00 AM,18.842,18.699,,
69,08.02.21 02:08:00 AM,18.818,18.699,,
70,08.02.21 02:09:00 AM,18.818,18.699,,
71,08.02.21 02:10:00 AM,18.818,18.699,,
72,08.02.21 02:11:00 AM,18.818,18.699,,
73,08.02.21 02:12:00 AM,18.818,18.699,,
74,08.02.21 02:13:00 AM,18.818,18.699,,
75,08.02.21 02:14:00 AM,18.818,18.675,,
76,08.02.21 02:15:00 AM,18.794,18.675,,
77,08.02.21 02:16:00 AM,18.794,18.675,,
78,08.02.21 02:17:00 AM,18.794,18.675,,
