"Tytuł wykresu: Pustostan 2"
"Nr","Data Czas, GMT+02:00","Temp, °C (LGR S/N: 9893164, SEN S/N: 9893164)","Temp, °C (LGR S/N: 9893164, SEN S/N: 9893164)","Odłączony łącznik (LGR S/N: 9893164)","Koniec pliku (LGR S/N: 9893164)"
1,08.02.21 01:00:00 AM,18.224,18.557,Zarejestrowano,
2,08.02.21 01:01:00 AM,18.224,18.557,,
3,08.02.21 01:02:00 AM,18.224,18.557,,
4,08.02.21 01:03:00 AM,18.224,18.557,,
5,08.02.21 01:04:00 AM,18.224,18.557,,
6,08.02.21 01:05:00 AM,18.224,18.557,,
7,08.02.21 01:06:00 AM,18.224,18.557,,
8,08.02.21 01:07:00 AM,18.224,18.557,,
9,08.02.21 01:08:00 AM,18.224,18.557,,
10,08.02.21 01:09:00 AM,18.224,18.557,,
11,08.02.21 01:10:00 AM,18.200,18.557,,
12,08.02.21 01:11:00 AM,18.200,18.557,,
13,08.02.21 01:12:00 AM,18.200,18.557,,
14,08.02.21 01:13:00 AM,18.200,18.557,,
15,08.02.21 01:14:00 AM,18.200,18.533,,
16,08.02.21 01:15:00 AM,18.200,18.533,,
17,08.02.21 01:16:00 AM,18.200,18.533,,
18,08.02.21 01:17:00 AM,18.200,18.533,,
19,08.02.21 01:18:00 AM,18.200,18.533,,
20,08.02.21 01:19:00 AM,18.200,18.533,,
21,08.02.21 01:20:00 AM,18.200,18.533,,
22,08.02.21 01:21:00 AM,18.200,18.533,,
23,08.02.21 01:22:00 AM,18.200,18.557,,
24,08.02.21 01:23:00 AM,18.200,18.557,,
25,08.02.21 01:24:00 AM,18.200,18.557,,
26,08.02.21 01:25:00 AM,18.176,18.557,,
27,08.02.21 01:26:00 AM,18.176,18.533,,
28,08.02.21 01:27:00 AM,18.176,18.533,,
29,08.02.21 01:28:00 AM,18.176,18.533,,
30,08.02.21 01:29:00 AM,18.176,18.533,,
31,08.02.21 01:30:00 AM,18.176,18.509,,
32,08.02.21 01:31:00 AM,18.176,18.509,,
33,08.02.21 01:32:00 AM,18.176,18.509,,
34,08.02.21 01:33:00 AM,18.176,18.509,,
35,08.02.21 01:34:00 AM,18.152,18.509,,
36,08.02.21 01:35:00 AM,18.152,18.509,,
