"Tytuł wykresu: Piwnica 2"
"Nr","Data Czas, GMT+01:00","Temp, °C (LGR S/N: 10153754, SEN S/N: 10153754)","Temp, °C (LGR S/N: 10153754, SEN S/N: 10153754)","Odłączony łącznik (LGR S/N: 10153754)","Koniec pliku (LGR S/N: 10153754)"
1,12.05.21 01:00:00 AM,12.968,12.534,Zarejestrowano,
2,12.05.21 01:01:00 AM,12.968,12.534,,
3,12.05.21 01:02:00 AM,12.968,12.534,,
4,12.05.21 01:03:00 AM,12.968,12.534,,
5,12.05.21 01:04:00 AM,12.968,12.534,,
6,12.05.21 01:05:00 AM,12.968,12.534,,
7,12.05.21 01:06:00 AM,12.968,12.534,,
8,12.05.21 01:07:00 AM,12.968,12.534,,
9,12.05.21 01:08:00 AM,12.968,12.534,,
10,12.05.21 01:09:00 AM,12.968,12.534,,
11,12.05.21 01:10:00 AM,12.968,12.534,,
12,12.05.21 01:11:00 AM,12.968,12.534,,
13,12.05.21 01:12:00 AM,12.968,12.534,,
14,12.05.21 01:13:00 AM,12.968,12.534,,
15,12.05.21 01:14:00 AM,12.968,12.534,,
16,12.05.21 01:15:00 AM,12.968,12.534,,
17,12.05.21 01:16:00 AM,12.968,12.534,,
18,12.05.21 01:17:00 AM,12.968,12.534,,
19,12.05.21 01:18:00 AM,12.968,12.534,,
20,12.05.21 01:19:00 AM,12.968,12.534,,
21,12.05.21 01:20:00 AM,12.968,12.534,,
22,12.05.21 01:21:00 AM,12.968,12.534,,
23,12.05.21 01:22:00 AM,12.968,12.534,,
24,12.05.21 01:23:00 AM,12.968,12.534,,
25,12.05.21 01:24:00 AM,12.968,12.534,,
26,12.05.21 01:25:00 AM,12.968,12.534,,
27,12.05.21 01:26:00 AM,12.968,12.534,,
28,12.05.21 01:27:00 AM,12.968,12.534,,
29,12.05.21 01:28:00 AM,12.968,12.534,,
30,12.05.21 01:29:00 AM,12.968,12.534,,
31,12.05.21 01:30:00 AM,12.968,12.534,,
32,12.05.21 01:31:00 AM,12.968,12.534,,
33,12.05.21 01:32:00 AM,12.968,12.534,,
34,12.05.21 01:33:00 AM,12.968,12.534,,
35,12.05.21 01:34:00 AM,12.968,12.534,,
36,12.05.21 01:35:00 AM,12.968,12.534,,
37,12.05.21 01:36:00 AM,12.968,12.534,,
38,12.05.21 01:37:00 AM,12.968,12.534,,
39,12.05.21 01:38:00 AM,12.968,12.534,,
40,12.05.21 01:39:00 AM,12.968,12.534,,
41,12.05.21 01:40:00 AM,12.968,12.534,,
42,12.05.21 01:41:00 AM,12.968,12.534,,
43,12.05.21 01:42:00 AM,12.968,12.534,,
44,12.05.21 01:43:00 AM,12.968,12.534,,
45,12.05.21 01:44:00 AM,12.968,12.534,,
46,12.05.21 01:45:00 AM,12.968,12.534,,
47,12.05.21 01:46:00 AM,12.968,12.534,,
48,12.05.21 01:47:00 AM,12.968,12.534,,
49,12.05.21 01:48:00 AM,12.968,12.534,,
50,12.05.21 01:49:00 AM,12.968,12.534,,
51,12.05.21 01:50:00 AM,12.968,12.534,,
52,12.05.21 01:51:00 AM,12.968,12.534,,
53,12.05.21 01:52:00 AM,12.968,12.534,,
54,12.05.21 01:53:00 AM,12.968,12.534,,
55,12.05.21 01:54:00 AM,12.968,12.534,,
56,12.05.21 01:55:00 AM,12.968,12.534,,
57,12.05.21 01:56:00 AM,12.968,12.534,,
58,12.05.21 01:57:00 AM,12.968,12.534,,
59,12.05.21 01:58:00 AM,12.968,12.534,,
60,12.05.21 01:59:00 AM,12.968,12.534,,
61,12.05.21 02:00:00 AM,12.968,12.534,,
62,12.05.21 02:01:00 AM,12.968,12.534,,
63,12.05.21 02:02:00 AM,12.968,12.534,,
64,12.05.21 02:03:00 AM,12.968,12.534,,
65,12.05.21 02:04:00 AM,12.968,12.534,,
66,12.05.21 02:05:00 AM,12.968,12.534,,
67,12.05.21 02:06:00 AM,12.968,12.534,,
68,12.05.21 02:07:00 AM,12.968,12.534,,
69,12.05.21 02:08:00 AM,12.968,12.534,,
70,12.05.21 02:09:00 AM,12.968,12.534,,
71,12.05.21 02:10:00 AM,12.968,12.534,,
72,12.05.21 02:11:00 AM,12.968,12.534,,
73,12.05.21 02:12:00 AM,12.968,12.534,,
74,12.05.21 02:13:00 AM,12.968,12.534,,
75,12.05.21 02:14:00 AM,12.968,12.534,,
76,12.05.21 02:15:00 AM,12.968,12.534,,
77,12.05.21 02:16:00 AM,12.968,12.534,,
78,12.05.21 02:17:00 AM,12.968,12.534,,
79,12.05.21 02:18:00 AM,12.968,12.534,,
80,12.05.21 02:19:00 AM,12.968,12.534,,
81,12.05.21 02:20:00 AM,12.968,12.534,,
82,12.05.21 02:21:00 AM,12.968,12.534,,
83,12.05.21 02:22:00 AM,12.968,12.534,,
84,12.05.21 02:23:00 AM,12.968,12.534,,
85,12.05.21 02:24:00 AM,12.968,12.534,,
86,12.05.21 02:25:00 AM,12.968,12.534,,
87,12.05.21 02:26:00 AM,12.968,12.534,,
