"Tytuł wykresu: Las 2"
"Nr","Data Czas, GMT+01:00","Temp, °C (LGR S/N: 10049263, SEN S/N: 10049263)","Temp, °C (LGR S/N: 10049263, SEN S/N: 10049263)","Odłączony łącznik (LGR S/N: 10049263)","Koniec pliku (LGR S/N: 10049263)"
1,12.05.21 01:00:00 AM,-0.620,-0.845,Zarejestrowano,
2,12.05.21 01:01:00 AM,-0.648,-0.873,,
3,12.05.21 01:02:00 AM,-0.704,-0.902,,
4,12.05.21 01:03:00 AM,-0.732,-0.930,,
5,12.05.21 01:04:00 AM,-0.732,-0.986,,
6,12.05.21 01:05:00 AM,-0.732,-1.015,,
7,12.05.21 01:06:00 AM,-0.789,-1.015,,
8,12.05.21 01:07:00 AM,-0.760,-0.986,,
9,12.05.21 01:08:00 AM,-0.732,-0.958,,
10,12.05.21 01:09:00 AM,-0.732,-0.958,,
11,12.05.21 01:10:00 AM,-0.704,-0.930,,
12,12.05.21 01:11:00 AM,-0.676,-0.930,,
13,12.05.21 01:12:00 AM,-0.676,-0.958,,
14,12.05.21 01:13:00 AM,-0.676,-0.930,,
15,12.05.21 01:14:00 AM,-0.648,-0.930,,
16,12.05.21 01:15:00 AM,-0.676,-0.930,,
17,12.05.21 01:16:00 AM,-0.676,-0.986,,
18,12.05.21 01:17:00 AM,-0.676,-1.015,,
19,12.05.21 01:18:00 AM,-0.648,-1.015,,
20,12.05.21 01:19:00 AM,-0.283,-1.043,,
21,12.05.21 01:20:00 AM,-0.255,-1.043,,
22,12.05.21 01:21:00 AM,-0.283,-1.015,,
23,12.05.21 01:22:00 AM,-0.255,-1.015,,
24,12.05.21 01:23:00 AM,-0.227,-1.015,,
25,12.05.21 01:24:00 AM,-0.227,-1.015,,
26,12.05.21 01:25:00 AM,-0.227,-1.015,,
27,12.05.21 01:26:00 AM,-0.227,-1.015,,
28,12.05.21 01:27:00 AM,-0.255,-1.015,,
29,12.05.21 01:28:00 AM,-0.255,-1.015,,
30,12.05.21 01:29:00 AM,-0.255,-1.015,,
31,12.05.21 01:30:00 AM,-0.283,-1.015,,
32,12.05.21 01:31:00 AM,-0.311,-1.015,,
33,12.05.21 01:32:00 AM,-0.339,-1.015,,
34,12.05.21 01:33:00 AM,-0.367,-1.015,,
35,12.05.21 01:34:00 AM,-0.395,-1.015,,
36,12.05.21 01:35:00 AM,-0.423,-1.015,,
37,12.05.21 01:36:00 AM,-0.395,-0.986,,
38,12.05.21 01:37:00 AM,-0.423,-0.986,,
39,12.05.21 01:38:00 AM,-0.451,-1.015,,
40,12.05.21 01:39:00 AM,-0.451,-0.958,,
41,12.05.21 01:40:00 AM,-0.479,-0.958,,
42,12.05.21 01:41:00 AM,-0.451,-0.958,,
43,12.05.21 01:42:00 AM,-0.479,-0.958,,
44,12.05.21 01:43:00 AM,-0.451,-0.986,,
45,12.05.21 01:44:00 AM,-0.507,-1.015,,
46,12.05.21 01:45:00 AM,-0.507,-1.043,,
47,12.05.21 01:46:00 AM,-0.563,-1.071,,
48,12.05.21 01:47:00 AM,-0.563,-1.043,,
49,12.05.21 01:48:00 AM,-0.591,-1.071,,
50,12.05.21 01:49:00 AM,-0.563,-1.015,,
51,12.05.21 01:50:00 AM,-0.563,-1.071,,
52,12.05.21 01:51:00 AM,-0.535,-1.043,,
53,12.05.21 01:52:00 AM,-0.563,-1.071,,
54,12.05.21 01:53:00 AM,-0.648,-1.128,,
55,12.05.21 01:54:00 AM,-0.620,-1.100,,
56,12.05.21 01:55:00 AM,-0.676,-1.128,,
57,12.05.21 01:56:00 AM,-0.760,-1.157,,
58,12.05.21 01:57:00 AM,-0.732,-1.128,,
59,12.05.21 01:58:00 AM,-0.676,-1.128,,
60,12.05.21 01:59:00 AM,-0.648,-1.128,,
61,12.05.21 02:00:00 AM,-0.676,-1.128,,
62,12.05.21 02:01:00 AM,-0.732,-1.185,,
63,12.05.21 02:02:00 AM,-0.732,-1.185,,
64,12.05.21 02:03:00 AM,-0.676,-1.185,,
65,12.05.21 02:04:00 AM,-0.676,-1.185,,
66,12.05.21 02:05:00 AM,-0.676,-1.157,,
67,12.05.21 02:06:00 AM,-0.648,-1.185,,
68,12.05.21 02:07:00 AM,-0.591,-1.157,,
69,12.05.21 02:08:00 AM,-0.563,-1.100,,
