"Tytuł wykresu: Garaż 2"
"Nr","Data Czas, GMT+01:00","Temp, °C (LGR S/N: 10049258, SEN S/N: 10049258)","Temp, °C (LGR S/N: 10049258, SEN S/N: 10049258)","Odłączony łącznik (LGR S/N: 10049258)","Koniec pliku (LGR S/N: 10049258)"
1,12.05.21 01:00:00 AM,1.778,1.805,Zarejestrowano,
2,12.05.21 01:01:00 AM,1.778,1.805,,
3,12.05.21 01:02:00 AM,1.778,1.805,,
4,12.05.21 01:03:00 AM,1.778,1.805,,
5,12.05.21 01:04:00 AM,1.778,1.805,,
6,12.05.21 01:05:00 AM,1.751,1.805,,
7,12.05.21 01:06:00 AM,1.751,1.778,,
8,12.05.21 01:07:00 AM,1.751,1.778,,
9,12.05.21 01:08:00 AM,1.751,1.778,,
10,12.05.21 01:09:00 AM,1.751,1.778,,
11,12.05.21 01:10:00 AM,1.751,1.778,,
12,12.05.21 01:11:00 AM,1.751,1.778,,
13,12.05.21 01:12:00 AM,1.751,1.751,,
14,12.05.21 01:13:00 AM,1.751,1.751,,
15,12.05.21 01:14:00 AM,1.724,1.751,,
16,12.05.21 01:15:00 AM,1.724,1.751,,
17,12.05.21 01:16:00 AM,1.724,1.751,,
18,12.05.21 01:17:00 AM,1.724,1.751,,
19,12.05.21 01:18:00 AM,1.724,1.751,,
20,12.05.21 01:19:00 AM,1.697,1.751,,
21,12.05.21 01:20:00 AM,1.697,1.724,,
22,12.05.21 01:21:00 AM,1.697,1.724,,
23,12.05.21 01:22:00 AM,1.697,1.724,,
24,12.05.21 01:23:00 AM,1.697,1.724,,
25,12.05.21 01:24:00 AM,1.697,1.697,,
26,12.05.21 01:25:00 AM,1.697,1.697,,
27,12.05.21 01:26:00 AM,1.670,1.697,,
28,12.05.21 01:27:00 AM,1.643,1.697,,
29,12.05.21 01:28:00 AM,1.643,1.697,,
30,12.05.21 01:29:00 AM,1.643,1.670,,
31,12.05.21 01:30:00 AM,1.643,1.670,,
32,12.05.21 01:31:00 AM,1.615,1.643,,
33,12.05.21 01:32:00 AM,1.615,1.643,,
34,12.05.21 01:33:00 AM,1.615,1.643,,
35,12.05.21 01:34:00 AM,1.588,1.643,,
36,12.05.21 01:35:00 AM,1.588,1.643,,
37,12.05.21 01:36:00 AM,1.588,1.615,,
38,12.05.21 01:37:00 AM,1.588,1.615,,
39,12.05.21 01:38:00 AM,1.588,1.615,,
40,12.05.21 01:39:00 AM,1.588,1.615,,
41,12.05.21 01:40:00 AM,1.588,1.615,,
42,12.05.21 01:41:00 AM,1.588,1.615,,
43,12.05.21 01:42:00 AM,1.588,1.588,,
44,12.05.21 01:43:00 AM,1.588,1.588,,
45,12.05.21 01:44:00 AM,1.588,1.588,,
46,12.05.21 01:45:00 AM,1.588,1.588,,
47,12.05.21 01:46:00 AM,1.561,1.588,,
48,12.05.21 01:47:00 AM,1.561,1.588,,
49,12.05.21 01:48:00 AM,1.561,1.588,,
50,12.05.21 01:49:00 AM,1.561,1.588,,
51,12.05.21 01:50:00 AM,1.561,1.588,,
52,12.05.21 01:51:00 AM,1.534,1.561,,
53,12.05.21 01:52:00 AM,1.534,1.561,,
54,12.05.21 01:53:00 AM,1.534,1.561,,
55,12.05.21 01:54:00 AM,1.534,1.534,,
56,12.05.21 01:55:00 AM,1.534,1.534,,
57,12.05.21 01:56:00 AM,1.507,1.534,,
58,12.05.21 01:57:00 AM,1.507,1.534,,
59,12.05.21 01:58:00 AM,1.507,1.534,,
60,12.05.21 01:59:00 AM,1.507,1.534,,
61,12.05.21 02:00:00 AM,1.507,1.534,,
62,12.05.21 02:01:00 AM,1.507,1.534,,
63,12.05.21 02:02:00 AM,1.480,1.507,,
64,12.05.21 02:03:00 AM,1.480,1.507,,
65,12.05.21 02:04:00 AM,1.480,1.507,,
66,12.05.21 02:05:00 AM,1.480,1.480,,
67,12.05.21 02:06:00 AM,1.453,1.480,,
68,12.05.21 02:07:00 AM,1.453,1.480,,
69,12.05.21 02:08:00 AM,1.453,1.480,,
70,12.05.21 02:09:00 AM,1.453,1.480,,
71,12.05.21 02:10:00 AM,1.425,1.480,,
72,12.05.21 02:11:00 AM,1.425,1.453,,
73,12.05.21 02:12:00 AM,1.425,1.453,,
74,12.05.21 02:13:00 AM,1.425,1.453,,
75,12.05.21 02:14:00 AM,1.425,1.453,,
76,12.05.21 02:15:00 AM,1.425,1.453,,
77,12.05.21 02:16:00 AM,1.425,1.425,,
78,12.05.21 02:17:00 AM,1.425,1.425,,
79,12.05.21 02:18:00 AM,1.425,1.425,,
80,12.05.21 02:19:00 AM,1.425,1.425,,
81,12.05.21 02:20:00 AM,1.425,1.425,,
82,12.05.21 02:21:00 AM,1.425,1.425,,
83,12.05.21 02:22:00 AM,1.398,1.425,,
84,12.05.21 02:23:00 AM,1.425,1.425,,
85,12.05.21 02:24:00 AM,1.425,1.425,,
86,12.05.21 02:25:00 AM,1.425,1.425,,
87,12.05.21 02:26:00 AM,1.398,1.425,,
88,12.05.21 02:27:00 AM,1.398,1.425,,
89,12.05.21 02:28:00 AM,1.398,1.425,,
90,12.05.21 02:29:00 AM,1.398,1.425,,
91,12.05.21 02:30:00 AM,1.398,1.425,,
92,12.05.21 02:31:00 AM,1.398,1.425,,
93,12.05.21 02:32:00 AM,1.371,1.398,,
94,12.05.21 02:33:00 AM,1.371,1.398,,
95,12.05.21 02:34:00 AM,1.371,1.398,,
96,12.05.21 02:35:00 AM,1.371,1.398,,
97,12.05.21 02:36:00 AM,1.371,1.398,,
98,12.05.21 02:37:00 AM,1.371,1.371,,
99,12.05.21 02:38:00 AM,1.371,1.371,,
100,12.05.21 02:39:00 AM,1.371,1.371,,
101,12.05.21 02:40:00 AM,1.371,1.371,,
102,12.05.21 02:41:00 AM,1.344,1.371,,
103,12.05.21 02:42:00 AM,1.344,1.371,,
104,12.05.21 02:43:00 AM,1.344,1.371,,
105,12.05.21 02:44:00 AM,1.344,1.371,,
