"Tytuł wykresu: Szopa 1"
"Nr","Data Czas, GMT+01:00","Temp, °C (LGR S/N: 9893163, SEN S/N: 9893163)","Temp, °C (LGR S/N: 9893163, SEN S/N: 9893163)","Odłączony łącznik (LGR S/N: 9893163)","Koniec pliku (LGR S/N: 9893163)"
1,12.05.21 01:00:00 AM,-0.367,-0.227,Zarejestrowano,
2,12.05.21 01:01:00 AM,-0.395,-0.283,,
3,12.05.21 01:02:00 AM,-0.395,-0.339,,
4,12.05.21 01:03:00 AM,-0.451,-0.339,,
5,12.05.21 01:04:00 AM,-0.451,-0.339,,
6,12.05.21 01:05:00 AM,-0.451,-0.311,,
7,12.05.21 01:06:00 AM,-0.451,-0.339,,
8,12.05.21 01:07:00 AM,-0.479,-0.339,,
9,12.05.21 01:08:00 AM,-0.479,-0.339,,
10,12.05.21 01:09:00 AM,-0.479,-0.283,,
11,12.05.21 01:10:00 AM,-0.479,-0.283,,
12,12.05.21 01:11:00 AM,-0.479,-0.339,,
13,12.05.21 01:12:00 AM,-0.507,-0.367,,
14,12.05.21 01:13:00 AM,-0.507,-0.339,,
15,12.05.21 01:14:00 AM,-0.507,-0.367,,
16,12.05.21 01:15:00 AM,-0.507,-0.367,,
17,12.05.21 01:16:00 AM,-0.507,-0.311,,
18,12.05.21 01:17:00 AM,-0.507,-0.255,,
19,12.05.21 01:18:00 AM,-0.507,-0.283,,
20,12.05.21 01:19:00 AM,-0.535,-0.367,,
21,12.05.21 01:20:00 AM,-0.507,-0.367,,
22,12.05.21 01:21:00 AM,-0.507,-0.339,,
23,12.05.21 01:22:00 AM,-0.535,-0.339,,
24,12.05.21 01:23:00 AM,-0.535,-0.311,,
25,12.05.21 01:24:00 AM,-0.535,-0.255,,
26,12.05.21 01:25:00 AM,-0.535,-0.283,,
27,12.05.21 01:26:00 AM,-0.535,-0.255,,
28,12.05.21 01:27:00 AM,-0.507,-0.283,,
29,12.05.21 01:28:00 AM,-0.507,-0.283,,
30,12.05.21 01:29:00 AM,-0.507,-0.283,,
31,12.05.21 01:30:00 AM,-0.507,-0.339,,
32,12.05.21 01:31:00 AM,-0.507,-0.283,,
33,12.05.21 01:32:00 AM,-0.507,-0.339,,
34,12.05.21 01:33:00 AM,-0.535,-0.367,,
