"Tytuł wykresu: Ziemia 2"
"Nr","Data Czas, GMT+01:00","Temp, °C (LGR S/N: 9893164, SEN S/N: 9893164)","Temp, °C (LGR S/N: 9893164, SEN S/N: 9893164)","Odłączony łącznik (LGR S/N: 9893164)","Koniec pliku (LGR S/N: 9893164)"
1,12.05.21 01:00:00 AM,0.632,1.208,Zarejestrowano,
2,12.05.21 01:01:00 AM,0.632,1.208,,
3,12.05.21 01:02:00 AM,0.632,1.208,,
4,12.05.21 01:03:00 AM,0.632,1.208,,
5,12.05.21 01:04:00 AM,0.632,1.208,,
6,12.05.21 01:05:00 AM,0.632,1.208,,
7,12.05.21 01:06:00 AM,0.632,1.180,,
8,12.05.21 01:07:00 AM,0.605,1.180,,
9,12.05.21 01:08:00 AM,0.605,1.180,,
10,12.05.21 01:09:00 AM,0.605,1.180,,
11,12.05.21 01:10:00 AM,0.605,1.180,,
12,12.05.21 01:11:00 AM,0.605,1.180,,
13,12.05.21 01:12:00 AM,0.605,1.180,,
14,12.05.21 01:13:00 AM,0.605,1.180,,
15,12.05.21 01:14:00 AM,0.605,1.180,,
16,12.05.21 01:15:00 AM,0.605,1.180,,
17,12.05.21 01:16:00 AM,0.605,1.180,,
18,12.05.21 01:17:00 AM,0.605,1.180,,
19,12.05.21 01:18:00 AM,0.605,1.180,,
20,12.05.21 01:19:00 AM,0.605,1.180,,
21,12.05.21 01:20:00 AM,0.605,1.180,,
22,12.05.21 01:21:00 AM,0.605,1.180,,
23,12.05.21 01:22:00 AM,0.605,1.180,,
24,12.05.21 01:23:00 AM,0.605,1.180,,
25,12.05.21 01:24:00 AM,0.605,1.180,,
26,12.05.21 01:25:00 AM,0.605,1.180,,
27,12.05.21 01:26:00 AM,0.605,1.180,,
28,12.05.21 01:27:00 AM,0.605,1.153,,
29,12.05.21 01:28:00 AM,0.605,1.153,,
30,12.05.21 01:29:00 AM,0.605,1.153,,
31,12.05.21 01:30:00 AM,0.605,1.153,,
32,12.05.21 01:31:00 AM,0.605,1.153,,
33,12.05.21 01:32:00 AM,0.605,1.153,,
34,12.05.21 01:33:00 AM,0.605,1.153,,
35,12.05.21 01:34:00 AM,0.605,1.153,,
