"Tytuł wykresu: Pustostan 1"
"Nr","Data Czas, GMT+01:00","Temp, °C (LGR S/N: 9893162, SEN S/N: 9893162)","Temp, °C (LGR S/N: 9893162, SEN S/N: 9893162)","Odłączony łącznik (LGR S/N: 9893162)","Koniec pliku (LGR S/N: 9893162)"
1,12.05.21 01:00:00 AM,0.273,0.329,Zarejestrowano,
2,12.05.21 01:01:00 AM,0.273,0.301,,
3,12.05.21 01:02:00 AM,0.273,0.273,,
4,12.05.21 01:03:00 AM,0.273,0.273,,
5,12.05.21 01:04:00 AM,0.273,0.301,,
6,12.05.21 01:05:00 AM,0.273,0.301,,
7,12.05.21 01:06:00 AM,0.273,0.273,,
8,12.05.21 01:07:00 AM,0.246,0.273,,
9,12.05.21 01:08:00 AM,0.246,0.273,,
10,12.05.21 01:09:00 AM,0.246,0.273,,
11,12.05.21 01:10:00 AM,0.218,0.273,,
12,12.05.21 01:11:00 AM,0.218,0.246,,
13,12.05.21 01:12:00 AM,0.218,0.246,,
14,12.05.21 01:13:00 AM,0.218,0.246,,
15,12.05.21 01:14:00 AM,0.246,0.246,,
16,12.05.21 01:15:00 AM,0.246,0.246,,
17,12.05.21 01:16:00 AM,0.246,0.273,,
18,12.05.21 01:17:00 AM,0.246,0.246,,
19,12.05.21 01:18:00 AM,0.246,0.246,,
20,12.05.21 01:19:00 AM,0.218,0.246,,
21,12.05.21 01:20:00 AM,0.218,0.218,,
22,12.05.21 01:21:00 AM,0.218,0.218,,
23,12.05.21 01:22:00 AM,0.218,0.218,,
24,12.05.21 01:23:00 AM,0.246,0.218,,
25,12.05.21 01:24:00 AM,0.246,0.218,,
26,12.05.21 01:25:00 AM,0.246,0.218,,
27,12.05.21 01:26:00 AM,0.246,0.218,,
28,12.05.21 01:27:00 AM,0.246,0.218,,
29,12.05.21 01:28:00 AM,0.218,0.218,,
30,12.05.21 01:29:00 AM,0.218,0.218,,
31,12.05.21 01:30:00 AM,0.190,0.190,,
32,12.05.21 01:31:00 AM,0.135,0.135,,
33,12.05.21 01:32:00 AM,0.107,0.107,,
34,12.05.21 01:33:00 AM,0.107,0.107,,
35,12.05.21 01:34:00 AM,0.079,0.079,,
36,12.05.21 01:35:00 AM,0.024,0.051,,
37,12.05.21 01:36:00 AM,-0.004,-0.004,,
38,12.05.21 01:37:00 AM,-0.004,-0.004,,
39,12.05.21 01:38:00 AM,-0.032,-0.032,,
40,12.05.21 01:39:00 AM,-0.032,-0.032,,
41,12.05.21 01:40:00 AM,-0.032,-0.032,,
42,12.05.21 01:41:00 AM,-0.060,-0.060,,
43,12.05.21 01:42:00 AM,-0.060,-0.060,,
44,12.05.21 01:43:00 AM,-0.088,-0.060,,
45,12.05.21 01:44:00 AM,-0.116,-0.088,,
46,12.05.21 01:45:00 AM,-0.116,-0.088,,
47,12.05.21 01:46:00 AM,-0.116,-0.116,,
48,12.05.21 01:47:00 AM,-0.116,-0.116,,
49,12.05.21 01:48:00 AM,-0.116,-0.116,,
50,12.05.21 01:49:00 AM,-0.143,-0.116,,
51,12.05.21 01:50:00 AM,-0.143,-0.143,,
52,12.05.21 01:51:00 AM,-0.171,-0.143,,
53,12.05.21 01:52:00 AM,-0.171,-0.171,,
54,12.05.21 01:53:00 AM,-0.199,-0.199,,
55,12.05.21 01:54:00 AM,-0.227,-0.227,,
56,12.05.21 01:55:00 AM,-0.227,-0.227,,
57,12.05.21 01:56:00 AM,-0.227,-0.227,,
58,12.05.21 01:57:00 AM,-0.227,-0.227,,
59,12.05.21 01:58:00 AM,-0.227,-0.227,,
60,12.05.21 01:59:00 AM,-0.227,-0.227,,
61,12.05.21 02:00:00 AM,-0.227,-0.227,,
62,12.05.21 02:01:00 AM,-0.227,-0.227,,
63,12.05.21 02:02:00 AM,-0.227,-0.227,,
64,12.05.21 02:03:00 AM,-0.227,-0.227,,
65,12.05.21 02:04:00 AM,-0.227,-0.227,,
66,12.05.21 02:05:00 AM,-0.227,-0.227,,
67,12.05.21 02:06:00 AM,-0.227,-0.227,,
68,12.05.21 02:07:00 AM,-0.199,-0.227,,
69,12.05.21 02:08:00 AM,-0.199,-0.199,,
70,12.05.21 02:09:00 AM,-0.199,-0.199,,
71,12.05.21 02:10:00 AM,-0.227,-0.199,,
72,12.05.21 02:11:00 AM,-0.227,-0.199,,
73,12.05.21 02:12:00 AM,-0.227,-0.199,,
